GID	Recorrido	Posicion	Estado	Calle	Numero	Observaciones
100299	A_DU_RM_CL_103	1	 	BENITO RIQUE 	1297	
100300	A_DU_RM_CL_103	2	 	CURUZU 	4155	
100288	A_DU_RM_CL_103	3	 	DR MARTIN BERINDUAGUE Esq. INDIGENAS		
130016	A_DU_RM_CL_103	4	 	CURUZU Esq. EMILIO ROMERO		
100302	A_DU_RM_CL_103	5	 	EMILIO ROMERO Esq. LEONARDO OLIVERA		
100290	A_DU_RM_CL_103	6	 	EMILIO ROMERO Esq. CALERA DE LAS HUERFANAS		
155752	A_DU_RM_CL_103	7	 	JOAQUIN R SANCHEZ Esq. CAMAMBU		
100303	A_DU_RM_CL_103	8	 	CALERA DE LAS HUERFANAS 	4096	
100304	A_DU_RM_CL_103	9	 	CALERA DE LAS HUERFANAS 	4096	
100305	A_DU_RM_CL_103	10	 	DR MARTIN BERINDUAGUE Esq. LEONARDO OLIVERA		
100306	A_DU_RM_CL_103	11	 	LEONARDO OLIVERA 	4156	
100307	A_DU_RM_CL_103	12	 	CONCORDIA 	4297	
100308	A_DU_RM_CL_103	13	 	CONCORDIA 	4278	
100309	A_DU_RM_CL_103	14	 	CONCORDIA 	4209	
100310	A_DU_RM_CL_103	15	 	CONCORDIA  	4165	FTE 4156
100311	A_DU_RM_CL_103	16	 	BALTASAR MONTERO VIDAURRETA 	1138	
180543	A_DU_RM_CL_103	17	 	CAMAMBU  	4198	EN 4198
144272	A_DU_RM_CL_103	18	 	CAMAMBU  	4218	FTE 4213
158912	A_DU_RM_CL_103	19	 	CAMAMBU 	4292	
100291	A_DU_RM_CL_103	20	 	BENITO RIQUE 	1190	
100240	A_DU_RM_CL_103	21	 	DIONISIO CORONEL 	1185	
100292	A_DU_RM_CL_103	22	 	RUPERTO PEREZ MARTINEZ 	1188	
100293	A_DU_RM_CL_103	23	 	CALERA DE LAS HUERFANAS 	4308	
177296	A_DU_RM_CL_103	24	 	LAURELES  	1197	PROV A
143992	A_DU_RM_CL_103	25	 	LAURELES 	1197	
100295	A_DU_RM_CL_103	26	 	LAURELES 	1141	
100296	A_DU_RM_CL_103	27	 	LAURELES 	1107	
100242	A_DU_RM_CL_103	28	 	JOSE MARMOL 	1110	
100243	A_DU_RM_CL_103	29	 	JOSE MARMOL 	1160	
166352	A_DU_RM_CL_103	30	 	JOSE MARMOL 	1186	
177041	A_DU_RM_CL_104	1	 	AV CARLOS MARIA RAMIREZ 	1051	
100402	A_DU_RM_CL_104	2	 	AV CARLOS MARIA RAMIREZ 	1039	
