dia_viaje,circuito,posicion,levantado,porcentaje_llenado,motivo_no_levante,contenedor_activo,condiciones_contenedor,id_viaje,turno,fecha_pasaje,numero_caja,contenedor_gid,the_geom,ubicacion,prioridad
2026-04-18,B_05,1,S,100,,S,,53717,Matutino,2026-04-18 03:48:37,,178078,"POINT (  574543.289270425,   6136380.57580249)",DR JAVIER BARRIOS AMORIN 973 EN 961/ 973 EN 961/ 973,0
2026-04-18,B_05,2,S,50,,S,,53717,Matutino,2026-04-18 03:53:33,,178079,"POINT (  574533.522677507,   6136509.62627427)",DR JAVIER BARRIOS AMORIN 1043 FTE 1050 FTE 1050,0
2026-04-18,B_05,3,S,75,,S,,53717,Matutino,2026-04-18 03:53:35,,178080,"POINT (  574543.955080196,   6136540.72877707)",DR JAVIER BARRIOS AMORIN 1058 ,0
2026-04-18,B_05,4,S,100,,S,Basura Afuera,53717,Matutino,2026-04-18 03:56:31,,178081,"POINT (  574532.631330114,   6136705.78671268)",DR JAVIER BARRIOS AMORIN 1144 ,0
2026-04-18,B_05,5,S,25,,S,Basura Afuera,53717,Matutino,2026-04-18 03:56:35,,178082,"POINT (  574532.429003416,   6136708.22440847)",DR JAVIER BARRIOS AMORIN 1146 EN 1144/1146 EN 1144/1146,0
2026-04-18,B_05,6,S,50,,S,,53717,Matutino,2026-04-18 03:58:51,,178083,"POINT (  574521.581635439,   6136817.42784860)",DR JAVIER BARRIOS AMORIN Esq. CANELONES PDO 1192. ESQ SORIANO PDO 1192. ESQ SORIANO,0
2026-04-18,B_05,7,S,25,,S,,53717,Matutino,2026-04-18 04:20:28,,178084,"POINT (  574516.279871279,   6136885.29042985)",DR JAVIER BARRIOS AMORIN 1223 FTE 1225. MURO FTE 1225. MURO,0
2026-04-18,B_05,8,S,25,,S,,53717,Matutino,2026-04-18 04:23:17,,178085,"POINT (  574500.223850888,   6136949.24213544)",DR JAVIER BARRIOS AMORIN 1251 FTE 1251. ARBOL/ARBOL FTE 1251. ARBOL/ARBOL,0
2026-04-18,B_05,9,S,25,,S,,53717,Matutino,2026-04-18 03:16:29,,179497,"POINT (  574491.974214676,   6137134.00837565)",CONSTITUYENTE 1459 EN 1459. VEREDA EN 1459. VEREDA,0
2026-04-18,B_05,10,S,50,,S,,53717,Matutino,2026-04-18 03:16:31,,178086,"POINT (  574491.803566212,   6137135.77174311)",CONSTITUYENTE 1459 EN 1459. VEREDA EN 1459. VEREDA,0
2026-04-18,B_05,11,S,25,,S,,53717,Matutino,2026-04-18 03:16:32,,178087,"POINT (  574491.519152105,   6137137.42134494)",CONSTITUYENTE 1459 EN 1459. VEREDA EN 1459. VEREDA,0
2026-04-18,B_05,12,S,100,,S,Basura Afuera,53717,Matutino,2026-04-18 03:12:09,,178088,"POINT (  574612.908703636,   6137187.04609241)",VAZQUEZ 1385 EN 1385. FTE 1390 EN 1385. FTE 1390,0
2026-04-18,B_05,13,S,75,,S,Basura Afuera,53717,Matutino,2026-04-18 03:12:13,,178089,"POINT (  574613.787548583,   6137185.66505035)",VAZQUEZ 1385 EN 1385. FTE 1390 EN 1385. FTE 1390,0
2026-04-18,B_05,14,S,75,,S,Basura Afuera,53717,Matutino,2026-04-18 03:12:16,,179574,"POINT (  574614.387420916,   6137184.16459404)",VAZQUEZ 1385 EN 1385. FTE 1390 EN 1385. FTE 1390,0
2026-04-18,B_05,15,S,50,,S,,53717,Matutino,2026-04-18 04:14:57,,179003,"POINT (  574625.751855206,   6137010.45180982)",Q F ANDRES MARTINEZ TRUEBA 1278 ,0
2026-04-18,B_05,16,S,50,,S,,53717,Matutino,2026-04-18 04:17:11,,178091,"POINT (  574620.378885683,   6136925.08752365)",Q F ANDRES MARTINEZ TRUEBA 1227 EN 1245 EN 1245,0
2026-04-18,B_05,17,S,50,,S,,53717,Matutino,2026-04-18 04:18:24,,178092,"POINT (  574626.405251032,   6136856.97704028)",Q F ANDRES MARTINEZ TRUEBA 1204 FTE 1206 FTE 1206,0
2026-04-18,B_05,18,S,75,,S,,53717,Matutino,2026-04-18 04:25:45,,178093,"POINT (  574635.005376582,   6136755.09380110)",Q F ANDRES MARTINEZ TRUEBA 1151 FTE 1058 FTE 1058,0
2026-04-18,B_05,19,S,75,,S,,53717,Matutino,2026-04-18 04:31:50,,178094,"POINT (  574657.119499790,   6136610.14618497)",Q F ANDRES MARTINEZ TRUEBA 1078 FTE 1089 FTE 1089,0
2026-04-18,B_05,20,S,50,,S,,53717,Matutino,2026-04-18 04:31:52,,178095,"POINT (  574656.988692096,   6136608.11419955)",Q F ANDRES MARTINEZ TRUEBA 1089 FTE 1089 FTE 1089,0
2026-04-18,B_05,21,S,100,,S,,53717,Matutino,2026-04-18 04:34:42,,179083,"POINT (  574654.088866853,   6136509.70773705)",Q F ANDRES MARTINEZ TRUEBA 1041 FTE 1042 FTE 1042,0
2026-04-18,B_05,22,S,25,,S,,53717,Matutino,2026-04-18 03:45:34,,178098,"POINT (  574699.522202125,   6136345.61326538)",AV GONZALO RAMIREZ 1513 EN 1510/1520 EN 1510/1520,0
2026-04-18,B_05,23,,,,S,,53717,Matutino,,,178099,"POINT (  574767.159351349,   6136232.74929699)",SALTO Esq. CEBOLLATI (*) (*),0
2026-04-18,B_05,24,S,25,,S,Basura Afuera,53717,Matutino,2026-04-18 03:43:29,,179496,"POINT (  574692.538333272,   6136263.63115198)",DR CARLOS MARIA MORALES Esq. CEBOLLATI EN 926 EN 926,0
2026-04-18,B_05,25,S,25,,S,,53717,Matutino,2026-04-18 03:43:31,,178100,"POINT (  574655.647496203,   6136288.86924437)",DR CARLOS MARIA MORALES Esq. CEBOLLATI EN 932 EN 932,0
2026-04-18,B_05,26,S,25,,S,,53717,Matutino,2026-04-18 03:43:33,,179493,"POINT (  574652.739212114,   6136290.49869749)",AV GONZALO RAMIREZ Esq. Q F ANDRES MARTINEZ TRUEBA EN 932 EN 932,0
2026-04-18,B_05,27,S,50,,S,,53717,Matutino,2026-04-18 03:43:58,,178102,"POINT (  574627.252708659,   6136341.97390151)",AV GONZALO RAMIREZ 1485 FTE 1485 FTE 1485,0
2026-04-18,B_05,28,S,25,,S,,53717,Matutino,2026-04-18 03:37:12,,178103,"POINT (  574773.517617647,   6136293.76297872)",SALTO 918 FTE 913 FTE 913,0
2026-04-18,B_05,29,,,,S,,53717,Matutino,,,178104,"POINT (  574897.683822957,   6136222.28390418)",DR LORENZO CARNELLI 896 (*) (*),0
2026-04-18,B_05,30,,,,S,,53717,Matutino,,,178105,"POINT (  575102.867057985,   6136246.53388381)",MAGALLANES 895 (*) (*),0
2026-04-18,B_05,31,,,,S,,53717,Matutino,,,178106,"POINT (  575103.185163834,   6136244.09507229)",MAGALLANES 895 (*) (*),0
2026-04-18,B_05,32,S,25,,S,,53717,Matutino,2026-04-18 04:40:08,,178107,"POINT (  574893.040530399,   6136399.97766800)",DR LORENZO CARNELLI 962 EN 964/MURO EN 964/MURO,0
2026-04-18,B_05,33,S,25,,S,,53717,Matutino,2026-04-18 04:40:10,,178108,"POINT (  574892.852206482,   6136401.35871005)",DR LORENZO CARNELLI 962 EN 964/MURO EN 964/MURO,0
2026-04-18,B_05,34,S,75,,S,,53717,Matutino,2026-04-18 04:42:28,,178109,"POINT (  574876.907448163,   6136465.82826436)",DR LORENZO CARNELLI 1005 EN 1005 EN 1005,0
2026-04-18,B_05,35,S,50,,S,,53717,Matutino,2026-04-18 06:06:02,,178110,"POINT (  574866.361308802,   6136721.66630581)",DR LORENZO CARNELLI 1164 ,0
2026-04-18,B_05,36,S,25,,S,,53717,Matutino,2026-04-18 06:06:04,,178111,"POINT (  574866.110210246,   6136722.63931271)",DR LORENZO CARNELLI 1164 ,0
2026-04-18,B_05,37,S,25,,S,Basura Afuera,53717,Matutino,2026-04-18 04:57:03,,178112,"POINT (  574963.097027579,   6136786.98331774)",MINAS 1159 FTE 1159 FTE 1159,0
2026-04-18,B_05,38,S,25,,S,Basura Afuera,53717,Matutino,2026-04-18 04:57:06,,179572,"POINT (  574962.902490676,   6136790.33001210)",MINAS 1159 FTE 1159 FTE 1159,0
2026-04-18,B_05,39,S,25,,S,,53717,Matutino,2026-04-18 04:59:57,,178113,"POINT (  574952.986185170,   6136912.06433886)",MINAS 1226 ,0
2026-04-18,B_05,40,S,25,,S,,53717,Matutino,2026-04-18 05:01:34,,179491,"POINT (  574946.650072148,   6136991.25199321)",MINAS 1258 FTE 1259 FTE 1259,0
2026-04-18,B_05,41,S,100,,S,,53717,Matutino,2026-04-18 06:47:29,,180346,"POINT (  574955.327155119,   6137088.34543464)",MINAS 1318 EN 1324 EN 1324,0
2026-04-18,B_05,42,S,25,,S,,53717,Matutino,2026-04-18 06:49:54,,178114,"POINT (  574909.915188391,   6137257.74687802)",MINAS 1401 EN 1402 EN 1402,0
2026-04-18,B_05,43,S,25,,S,,53717,Matutino,2026-04-18 06:49:56,,178115,"POINT (  574908.451366223,   6137260.60231477)",MINAS 1401 EN 1402 EN 1402,0
2026-04-18,B_05,44,S,25,,S,,53717,Matutino,2026-04-18 05:09:56,,180654,"POINT (  575050.842470153,   6136962.49657320)",MAGALLANES 1222 ,0
2026-04-18,B_05,45,S,25,,S,,53717,Matutino,2026-04-18 05:09:58,,180655,"POINT (  575051.060335076,   6136960.97151874)",MAGALLANES 1222 ,0
2026-04-18,B_05,46,S,25,,S,,53717,Matutino,2026-04-18 05:10:00,,178116,"POINT (  575054.029806455,   6136920.17423715)",MAGALLANES 1215 FTE 1215. FTE 1215.,0
2026-04-18,B_05,47,S,25,,S,,53717,Matutino,2026-04-18 05:10:02,,178117,"POINT (  575054.154565848,   6136916.04039927)",MAGALLANES 1215 FTE 1215. FTE 1215.,0
2026-04-18,B_05,48,S,50,,S,Basura Afuera,53717,Matutino,2026-04-18 05:15:45,,182178,"POINT (  575046.992687145,   6136851.00149318)",MAGALLANES 1191 ANTES 1185 ANTES 1185,0
2026-04-18,B_05,49,S,25,,S,Basura Afuera,53717,Matutino,2026-04-18 05:15:47,,182179,"POINT (  575047.106452787,   6136848.72618032)",MAGALLANES 1191 ANTES 1185 ANTES 1185,0
2026-04-18,B_05,50,S,25,,S,,53717,Matutino,2026-04-18 06:15:22,,178120,"POINT (  575079.867871411,   6136426.95927469)",MAGALLANES 979 ,0
2026-04-18,B_05,51,S,25,,S,,53717,Matutino,2026-04-18 06:15:15,,178121,"POINT (  575080.007998304,   6136423.65144771)",MAGALLANES 979 ,0
2026-04-18,B_05,52,S,25,,S,,53717,Matutino,2026-04-18 06:22:01,,178122,"POINT (  575087.527803492,   6136314.02348877)",MAGALLANES 919 ,0
2026-04-18,B_05,53,S,50,,S,,53717,Matutino,2026-04-18 04:37:15,,181084,"POINT (  574932.069333334,   6136260.84226030)",CEBOLLATI 1604 ,0
2026-04-18,B_05,54,S,100,,S,,53717,Matutino,2026-04-18 03:31:36,,178124,"POINT (  574755.156035725,   6136533.81319845)",SALTO 1046 EN 1050 EN 1050,0
2026-04-18,B_05,55,S,75,,S,,53717,Matutino,2026-04-18 03:29:57,,178125,"POINT (  574746.807008731,   6136628.10070630)",SALTO 1086 FTE 1095 FTE 1095,0
2026-04-18,B_05,56,S,25,,S,,53717,Matutino,2026-04-18 03:29:15,,178126,"POINT (  574739.022953489,   6136720.63052426)",SALTO 1135 FTE 1135 FTE 1135,0
2026-04-18,B_05,57,S,25,,S,,53717,Matutino,2026-04-18 03:29:13,,178127,"POINT (  574738.834629572,   6136722.95318591)",SALTO 1135 FTE 1135 FTE 1135,0
2026-04-18,B_05,58,S,25,,S,,53717,Matutino,2026-04-18 06:41:13,,178130,"POINT (  574813.159802208,   6137066.89543327)",CONSTITUYENTE 1641 FTE 1641 FTE 1641,0
2026-04-18,B_05,59,S,75,,S,,53717,Matutino,2026-04-18 06:41:16,,178131,"POINT (  574825.840279296,   6137065.63994049)",CONSTITUYENTE 1645 FTE 1647 FTE 1647,0
2026-04-18,B_05,60,,,,S,,53717,Matutino,,,181369,"POINT (  574294.618492634,   6137083.92837711)",EJIDO 1323 SOTERRADO SOTERRADO,0
2026-04-18,B_05,61,S,50,,S,,53717,Matutino,2026-04-18 04:12:18,,178132,"POINT (  574471.320911198,   6137038.82951994)",MANUEL FLORES MORA 1427 ,0
2026-04-18,B_05,62,S,50,,S,,53717,Matutino,2026-04-18 02:00:00,,178133,"POINT (  574522.262124848,   6137043.35494362)",MANUEL FLORES MORA 1457 ,0
2026-04-18,B_05,63,S,25,,S,,53717,Matutino,2026-04-18 03:23:11,,178134,"POINT (  574699.851578722,   6137042.47609868)",SALTO 1287 ,0
2026-04-18,B_05,64,S,25,,S,,53717,Matutino,2026-04-18 03:23:16,,178135,"POINT (  574699.882966042,   6137041.34615518)",SALTO 1287 ,0
2026-04-18,B_05,65,S,75,,S,,53717,Matutino,2026-04-18 03:23:20,,178136,"POINT (  574702.833374077,   6137003.33611123)",SALTO 1265 EN 1269 EN 1269,0
2026-04-18,B_05,66,S,25,,S,,53717,Matutino,2026-04-18 03:23:22,,178137,"POINT (  574702.833374077,   6137001.45287206)",SALTO 1265 EN 1269 EN 1269,0
2026-04-18,B_05,67,S,75,,S,,53717,Matutino,2026-04-18 03:24:19,,178145,"POINT (  574714.070034467,   6136868.30786263)",SALTO 1205 EN 1205/1207 EN 1205/1207,0
2026-04-18,B_05,68,S,25,,S,,53717,Matutino,2026-04-18 04:28:13,,183515,"POINT (  574678.522655732,   6136638.17540488)",DURAZNO 1515 ,0
2026-04-18,B_05,69,S,25,,S,,53717,Matutino,2026-04-18 04:28:11,,183516,"POINT (  574682.154891827,   6136638.17540488)",DURAZNO 1515 ,0
2026-04-18,B_05,70,S,75,,S,,53717,Matutino,2026-04-18 03:33:52,,179487,"POINT (  574753.618057069,   6136391.47170441)",SALTO 967 CASA TAPEADA CASA TAPEADA,0
2026-04-18,B_05,71,S,25,,S,,53717,Matutino,2026-04-18 03:33:54,,180585,"POINT (  574753.957254031,   6136390.00019020)",SALTO 963 EN 967 EN 967,0
2026-04-18,B_05,72,S,100,,S,Basura Afuera,53717,Matutino,2026-04-18 06:20:06,,178147,"POINT (  574992.914981130,   6136406.85149098)",MINAS 963 FTE 963 FTE 963,0
2026-04-18,B_05,73,S,75,,S,,53717,Matutino,2026-04-18 06:13:17,,178148,"POINT (  575057.196211518,   6136459.83328634)",SAN SALVADOR 1689 FTE 1689 FTE 1689,0
2026-04-18,B_05,74,S,75,,S,,53717,Matutino,2026-04-18 04:44:34,,178149,"POINT (  574981.458609503,   6136539.87095113)",MINAS 1038 EN 1038. FTE 1041 EN 1038. FTE 1041,0
2026-04-18,B_05,75,S,25,,S,,53717,Matutino,2026-04-18 04:44:36,,178150,"POINT (  574981.270285586,   6136542.38193669)",MINAS 1038 EN 1038. FTE 1041 EN 1038. FTE 1041,0
2026-04-18,B_05,76,S,25,,S,Basura Afuera,53717,Matutino,2026-04-18 04:48:51,,178151,"POINT (  574963.630612013,   6136631.27082558)",MINAS 1093 EN 1091 EN 1091,0
2026-04-18,B_05,77,S,50,,S,,53717,Matutino,2026-04-18 04:49:08,,178152,"POINT (  575026.344430889,   6136666.24644987)",DURAZNO Esq. NUESTRA SE?ORA DE LA ENCINA (*) FTE 1686 (*) FTE 1686,0
2026-04-18,B_05,78,S,75,,S,,53717,Matutino,2026-04-18 04:49:11,,178153,"POINT (  575028.476756563,   6136666.79430087)",DURAZNO Esq. NUESTRA SE?ORA DE LA ENCINA (*) FTE 1686 (*) FTE 1686,0
2026-04-18,B_05,79,S,50,,S,,53717,Matutino,2026-04-18 06:11:08,,178154,"POINT (  574910.308062518,   6136550.35529339)",ISLA DE FLORES 1617 EN 1614 EN 1614,0
2026-04-18,B_05,80,S,25,,S,,53717,Matutino,2026-04-18 06:08:59,,178155,"POINT (  574868.464259212,   6136580.92556506)",DR LORENZO CARNELLI 1061 ,0
2026-04-18,B_05,81,S,25,,S,Basura Afuera,53717,Matutino,2026-04-18 04:54:07,,178156,"POINT (  574955.269838805,   6136711.36184515)",MINAS 1123 ,0
2026-04-18,B_05,82,S,75,,S,Basura Afuera,53717,Matutino,2026-04-18 06:00:39,,178157,"POINT (  574820.316111061,   6136912.43843389)",DR LORENZO CARNELLI 1284 FTE 1280. MURO FTE 1280. MURO,0
2026-04-18,B_05,83,S,75,,S,Basura Afuera,53717,Matutino,2026-04-18 06:00:42,,179482,"POINT (  574820.629984256,   6136911.24571575)",DR LORENZO CARNELLI 1284 ,0
