dia_viaje,circuito,posicion,levantado,porcentaje_llenado,motivo_no_levante,contenedor_activo,condiciones_contenedor,id_viaje,turno,fecha_pasaje,numero_caja,contenedor_gid,the_geom,ubicacion,prioridad
2026-06-09,B_04,1,S,75,,S,Basura Afuera,60085,Matutino,2026-06-09 02:44:26,,177687,"POINT (  574673.683640346,   6137302.08625601)",TACUAREMBO 1472 ,0
2026-06-09,B_04,2,S,50,,S,Basura Afuera,60085,Matutino,2026-06-09 07:05:04,,177708,"POINT (  574658.326626828,   6137338.83872040)",TACUAREMBO 1494 ,0
2026-06-09,B_04,3,S,100,,S,Basura Afuera,60085,Matutino,2026-06-09 03:51:25,,177709,"POINT (  574638.205780252,   6137392.03155299)",TACUAREMBO 1520 ,0
2026-06-09,B_04,4,S,100,,S,Basura Afuera,60085,Matutino,2026-06-09 02:44:37,,177710,"POINT (  574712.169278165,   6137436.43428950)",CARLOS ROXLO 1475 EN 1469 EN 1469,0
2026-06-09,B_04,5,S,75,,S,Basura Afuera,60085,Matutino,2026-06-09 02:44:33,,177711,"POINT (  574752.705166214,   6137320.87250556)",CARLOS ROXLO 1427 MURO SUPERMERCADO MURO SUPERMERCADO,0
2026-06-09,B_04,6,S,50,,S,Basura Afuera,60085,Matutino,2026-06-09 02:44:40,,177712,"POINT (  574753.550050453,   6137318.78514450)",CARLOS ROXLO 1427 MURO SUPERMERCADO MURO SUPERMERCADO,0
2026-06-09,B_04,7,S,75,,S,Basura Afuera,60085,Matutino,2026-06-09 02:44:46,,177715,"POINT (  574833.029789288,   6137371.42281815)",MINAS 1463 ,0
2026-06-09,B_04,8,S,75,,S,Basura Afuera,60085,Matutino,2026-06-09 02:45:34,,179373,"POINT (  574714.066719986,   6137377.61359304)",COLONIA 1594 ,0
2026-06-09,B_04,9,S,100,,S,Basura Afuera,60085,Matutino,2026-06-09 02:45:41,,179374,"POINT (  574672.051936797,   6137359.04576950)",COLONIA 1562 ,0
2026-06-09,B_04,10,S,75,,S,Basura Afuera,60085,Matutino,2026-06-09 02:45:53,,183778,"POINT (  574877.166716541,   6137554.96052256)",MAGALLANES 1494 ,0
2026-06-09,B_04,11,S,100,,S,Basura Afuera,60085,Matutino,2026-06-09 02:45:56,,177779,"POINT (  574933.907985908,   6137440.05088231)",MAGALLANES 1420 EN 1418/1424 EN 1418/1424,0
2026-06-09,B_04,12,S,75,,S,Basura Afuera,60085,Matutino,2026-06-09 02:46:00,,177780,"POINT (  575028.187127149,   6137467.28597424)",GABOTO 1468 EN 1472 EN 1472,0
2026-06-09,B_04,13,S,50,,S,,60085,Matutino,2026-06-09 02:46:05,,177781,"POINT (  575007.673253256,   6137506.09751066)",GABOTO 1488 EN 1494 EN 1494,0
2026-06-09,B_04,14,S,100,,S,Basura Afuera,60085,Matutino,2026-06-09 02:46:02,,177782,"POINT (  575006.902917626,   6137507.19089026)",GABOTO 1488 EN 1494 EN 1494,0
2026-06-09,B_04,15,S,75,,S,,60085,Matutino,2026-06-09 02:47:04,,177783,"POINT (  574969.182290593,   6137589.53977362)",GABOTO 1550 FTE 1543 FTE 1543,0
2026-06-09,B_04,16,S,75,,S,Basura Afuera,60085,Matutino,2026-06-09 03:01:05,,180002,"POINT (  574967.900635211,   6137593.24868874)",GABOTO 1550 PROV OV (O: AV URUGUAY 1760/1754) PROV OV (O: AV URUGUAY 1760/1754),0
2026-06-09,B_04,17,S,75,,S,Basura Afuera,60085,Matutino,2026-06-09 03:01:11,,177784,"POINT (  575106.985007189,   6137562.38515018)",COLONIA 1796 EN 1796/1800 EN 1796/1800,0
2026-06-09,B_04,18,S,50,,S,Basura Afuera,60085,Matutino,2026-06-09 03:01:08,,177785,"POINT (  575105.792229440,   6137561.73906224)",COLONIA 1796 EN 1796/1800 EN 1796/1800,0
2026-06-09,B_04,19,S,100,,S,Basura Afuera,60085,Matutino,2026-06-09 03:01:13,,180181,"POINT (  574789.169776836,   6137511.89230904)",MINAS Esq. MERCEDES ,0
2026-06-09,B_04,20,S,50,,S,Basura Afuera,60085,Matutino,2026-06-09 03:01:15,,177786,"POINT (  575187.913221098,   6137674.28663310)",EDUARDO ACEVEDO 1595 FTE 1569 FTE 1569,0
2026-06-09,B_04,21,S,75,,S,Basura Afuera,60085,Matutino,2026-06-09 03:01:18,,177787,"POINT (  575188.879632207,   6137671.61214654)",EDUARDO ACEVEDO 1551 FTE 1569 FTE 1569,0
2026-06-09,B_04,22,S,100,,S,Basura Afuera,60085,Matutino,2026-06-09 03:01:23,,177788,"POINT (  575190.093264762,   6137669.29725481)",EDUARDO ACEVEDO 1551 FTE 1569 FTE 1569,0
2026-06-09,B_04,23,S,75,,S,Basura Afuera,60085,Matutino,2026-06-09 03:01:21,,177789,"POINT (  575218.366408367,   6137605.04215341)",EDUARDO ACEVEDO 1542 ,0
2026-06-09,B_04,24,S,50,,S,Basura Afuera,60085,Matutino,2026-06-09 03:01:28,,177790,"POINT (  575218.815901906,   6137603.60377409)",EDUARDO ACEVEDO 1542 ,0
2026-06-09,B_04,25,S,75,,S,Basura Afuera,60085,Matutino,2026-06-09 03:01:36,,177809,"POINT (  575233.357017894,   6137537.68554659)",EDUARDO ACEVEDO 1503 EN 1507/1511 EN 1507/1511,0
2026-06-09,B_04,26,S,75,,S,Basura Afuera,60085,Matutino,2026-06-09 03:01:31,,177810,"POINT (  575234.098682233,   6137536.29211662)",EDUARDO ACEVEDO 1503 EN 1507/1511 EN 1507/1511,0
2026-06-09,B_04,27,S,75,,S,Basura Afuera,60085,Matutino,2026-06-09 03:47:45,,177816,"POINT (  574883.811719674,   6138231.64757235)",ARENAL GRANDE 1883 ,0
2026-06-09,B_04,28,S,50,,S,Basura Afuera,60085,Matutino,2026-06-09 03:47:48,,177817,"POINT (  574884.465827862,   6138230.57847201)",ARENAL GRANDE 1883 ,0
2026-06-09,B_04,29,S,75,,S,Basura Afuera,60085,Matutino,2026-06-09 03:47:50,,177818,"POINT (  575004.025414283,   6138123.71274809)",ARENAL GRANDE 1819 FTE 1816. MURO FTE 1816. MURO,0
2026-06-09,B_04,30,S,75,,S,Basura Afuera,60085,Matutino,2026-06-09 03:47:53,,177819,"POINT (  575005.643591023,   6138121.73497652)",ARENAL GRANDE 1819 FTE 1816. MURO FTE 1816. MURO,0
