GID;Acumulacion_general
138563;6
125876;6
102213;6
102215;6
145352;6
183303;6
177085;6
156672;6
141132;6
141133;6
138775;6
162614;6
138778;6
138780;6
138810;6
166552;6
138782;6
105344;6
181594;6
105325;6
105365;6
105308;6
172174;6
176605;6
183322;6
183131;6
176900;6
100338;6
104376;6
125853;6
104420;6
104380;6
166872;6
102152;6
181350;6
171653;6
102214;6
180859;6
102211;6
182243;6
105345;6
105321;6
105322;6
181593;6
105367;6
181661;6
105307;6
182292;6
170712;6
102261;6
102176;6
117201;6
102254;6
102212;6
125860;6
137772;6
175768;6
100430;6
129133;6
129138;6
125844;6
125870;6
124279;6
124280;6
129136;6
124270;6
181201;6
182154;6
177405;6
177406;6
105293;6
180369;6
105247;6
177394;6
105933;6
105932;6
183385;6
105375;6
105381;6
105310;6
105373;6
179179;6
105654;6
105635;6
180651;6
105655;6
114465;6
100485;6
180155;6
126078;6
117162;6
119492;6
175492;6
114426;6
180583;6
102205;6
102161;6
115258;6
181051;6
102192;6
102222;6
102223;6
124207;6
124259;6
124175;6
124254;6
183413;6
124200;6
124177;6
124231;6
124201;6
107748;6
176125;6
176126;6
124579;6
114478;6
181781;6
124581;6
162952;6
181943;6
105525;6
124179;6
124178;6
124232;6
124267;6
124268;6
124233;6
124203;6
172732;6
115761;6
115744;6
115760;6
115754;6
115771;6
181115;6
115723;6
115709;6
181250;6
115715;6
115821;6
115794;6
181360;6
181361;6
115753;6
115770;6
106935;6
106951;6
106952;6
106936;6
106953;6
120132;6
147755;6
102052;6
118105;6
102067;6
102413;6
150532;6
181625;6
179751;6
182904;6
179769;6
179770;6
180687;6
179263;6
180745;6
100558;6
124325;6
124347;6
183368;6
183367;6
183158;6
125272;6
124222;6
154112;6
182891;6
182892;6
124377;6
183417;6
124435;6
124427;6
124423;6
107121;6
107255;6
124396;6
179786;6
124473;6
182903;6
182929;6
182872;6
124475;6
124415;6
116761;6
183072;6
116852;6
118832;6
180899;6
107378;6
116759;6
116858;6
121355;6
102369;6
124462;6
124468;6
116665;6
116784;6
140272;6
102288;6
180923;6
179816;6
116753;6
183274;6
116806;6
116781;6
183229;6
116769;6
120412;6
182932;6
181808;6
130272;6
182958;6
141569;6
143714;6
183080;6
179918;6
181592;6
100630;6
100698;6
126312;6
173012;6
175945;6
180050;6
180072;6
124966;6
141234;6
180632;6
183291;6
149932;6
141441;6
141266;6
141342;6
141343;6
179993;6
141254;6
142077;6
181888;6
183025;6
141464;6
141468;6
141472;6
141509;6
142615;6
124895;6
180031;6
142369;6
142296;6
142290;6
142317;6
142281;6
142319;6
142321;6
179310;6
142360;6
183419;6
142280;6
175929;6
124898;6
124876;6
124944;6
124970;6
101573;6
101565;6
101559;6
101561;6
101514;6
101562;6
165572;6
142599;6
115643;6
129547;6
129748;6
181342;6
129524;6
146332;6
142601;6
142604;6
142605;6
142606;6
181098;6
101596;6
182293;6
101590;6
181096;6
181097;6
180054;6
142575;6
129535;6
115649;6
142588;6
181945;6
181944;6
142490;6
142539;6
101591;6
182294;6
180227;6
129191;6
129253;6
101621;6
101554;6
101553;6
