GID;Repite
107202;1
107206;1
107208;1
107213;1
107215;1
107216;1
107217;1
107222;1
107224;1
107232;1
107233;1
107237;1
107244;1
107245;1
107246;1
107248;1
107249;1
107250;1
107256;1
107290;1
107291;1
107722;1
107837;1
114501;1
124181;1
124210;1
124211;1
124212;1
124257;1
124281;1
124282;1
134110;1
134136;1
134138;1
134187;1
134188;1
134189;1
134274;1
134276;1
134277;1
134281;1
134282;1
134306;1
134307;1
134313;1
134315;1
134316;1
134317;1
134327;1
134330;1
134332;1
134337;1
134338;1
134348;1
134349;1
134350;1
134353;1
134357;1
134358;1
134359;1
134369;1
134391;1
134392;1
134393;1
134394;1
134395;1
134408;1
134415;1
134416;1
134429;1
134441;1
134452;1
134453;1
134454;1
134455;1
134482;1
134483;1
134492;1
134497;1
137012;1
137133;1
137134;1
137154;1
138330;1
138359;1
138362;1
141182;1
141183;1
141200;1
141239;1
141240;1
141241;1
141242;1
141393;1
141507;1
144312;1
145032;1
149552;1
149572;1
153292;1
155022;1
159532;1
163812;1
165032;1
168498;1
168952;1
175313;1
175696;1
176841;1
177277;1
179212;1
179234;1
179771;1
180126;1
180435;1
180440;1
180492;1
180538;1
180636;1
180637;1
180671;1
180685;1
180686;1
180688;1
180698;1
180699;1
180739;1
180801;1
181076;1
181176;1
181234;1
181252;1
181287;1
181288;1
181328;1
181330;1
181539;1
181632;1
181633;1
181705;1
181706;1
181989;1
182002;1
182122;1
183023;1
183154;1
183182;1
183503;1
183509;1
