GID;Acumulacion_general
100467;6
100470;6
100477;6
125950;6
139612;6
183480;6
134258;6
181989;6
134593;6
134594;6
183262;6
134555;6
175456;6
134556;6
183472;6
134735;6
138479;6
134734;6
134808;6
126004;6
182089;6
183809;6
182332;6
181986;6
138590;6
182086;6
183296;6
182073;6
181921;6
175792;6
180565;6
176137;6
141237;6
141251;6
183807;6
183808;6
114511;6
114527;6
180992;6
114308;6
114310;6
176493;6
114311;6
114290;6
176900;6
180993;6
180336;6
114317;6
180994;6
181490;6
181492;6
114327;6
181531;6
180997;6
156092;6
114309;6
141618;6
141579;6
141619;6
114300;6
125930;6
141222;6
114326;6
114304;6
114268;6
177479;6
114246;6
183366;6
125988;6
177492;6
114386;6
114421;6
141314;6
141313;6
179325;6
183569;6
141580;6
180505;6
180490;6
141284;6
141253;6
180437;6
180423;6
141279;6
141281;6
141280;6
180516;6
180517;6
180715;6
181119;6
181120;6
142669;6
100581;6
100582;6
100790;6
100572;6
183511;6
166112;6
142588;6
181945;6
181944;6
142620;6
180368;6
142606;6
142675;6
142685;6
142138;6
142635;6
142640;6
100417;6
141611;6
141575;6
141617;6
141589;6
141633;6
114430;6
154994;6
142590;6
146372;6
142591;6
183167;6
177504;6
118032;6
176312;6
183165;6
117968;6
176777;6
117953;6
141344;6
141342;6
141343;6
141276;6
180507;6
146212;6
142543;6
141275;6
141277;6
141273;6
141274;6
141334;6
141335;6
180296;6
141332;6
141254;6
117945;6
141318;6
142492;6
146173;6
142533;6
114449;6
141266;6
141269;6
141272;6
141267;6
141271;6
141270;6
117974;6
141345;6
115721;6
141431;6
141389;6
141434;6
141442;6
183743;6
141448;6
142670;6
141315;6
114451;6
115715;6
180856;6
142490;6
116589;6
115753;6
181245;6
179224;6
176650;6
175366;6
172452;6
100630;6
100697;6
142539;6
142487;6
115787;6
115646;6
116719;6
116662;6
115663;6
115665;6
116670;6
116716;6
115649;6
173052;6
124085;6
179048;6
116849;6
116841;6
137812;6
180212;6
116786;6
116803;6
116804;6
176138;6
149973;6
142007;6
142008;6
142517;6
183274;6
116847;6
116806;6
116781;6
120252;6
116766;6
183229;6
116834;6
116835;6
116836;6
116850;6
116848;6
173092;6
179935;6
126052;6
126076;6
141999;6
142001;6
182299;6
142000;6
142025;6
142020;6
182876;6
180148;6
167072;6
180893;6
142027;6
142026;6
141997;6
141998;6
126046;6
126047;6
126049;6
126077;6
126106;6
126104;6
116782;6
116772;6
116773;6
137752;6
141802;6
141929;6
142048;6
142054;6
142066;6
142013;6
142014;6
142002;6
180894;6
141980;6
183157;6
141772;6
116825;6
116769;6
116858;6
124099;6
179498;6
124174;6
183413;6
124200;6
118061;6
179513;6
179511;6
124199;6
124265;6
124264;6
124231;6
124201;6
183154;6
124281;6
100777;6
118098;6
118101;6
181183;6
118116;6
