GID;Repite
100446;1
100499;1
100500;1
107392;1
107395;1
107397;1
107404;1
107405;1
107406;1
107408;1
107419;1
107430;1
107437;1
107439;1
107440;1
107441;1
107442;1
107443;1
107444;1
107455;1
107459;1
107461;1
107467;1
107468;1
107472;1
107479;1
107487;1
107488;1
107489;1
107494;1
107496;1
107497;1
107498;1
107499;1
107500;1
107501;1
107505;1
107722;1
107773;1
107828;1
107829;1
107831;1
107837;1
109012;1
109013;1
126007;1
133632;1
163812;1
166252;1
167052;1
169752;1
173592;1
173812;1
175097;1
175494;1
175758;1
177398;1
177399;1
177400;1
177403;1
177404;1
177416;1
177418;1
177498;1
179161;1
179203;1
179250;1
179251;1
180284;1
180375;1
181712;1
181767;1
181768;1
181769;1
181957;1
182002;1
182201;1
182202;1
182203;1
182253;1
182254;1
