GID;Acumulacion_general
125976;6
125919;6
125918;6
126008;6
124536;6
124651;6
124615;6
183056;6
183052;6
183053;6
125844;6
125848;6
125875;6
125873;6
125874;6
125823;6
125797;6
167252;6
125821;6
125904;6
125820;6
125842;6
179595;6
176126;6
124563;6
124662;6
183055;6
183050;6
124503;6
124502;6
124501;6
124500;6
125796;6
179241;6
179240;6
125860;6
125890;6
145232;6
125889;6
125855;6
125854;6
125851;6
125798;6
175928;6
125850;6
181488;6
124560;6
125988;6
124581;6
182999;6
181864;6
181863;6
183004;6
178963;6
178965;6
125849;6
183152;6
125887;6
125845;6
138973;6
138974;6
180285;6
125896;6
125800;6
125802;6
125803;6
145192;6
155575;6
176232;6
125862;6
125857;6
100498;6
183003;6
125858;6
175899;6
125861;6
125859;6
167233;6
125866;6
125834;6
167232;6
180641;6
125830;6
171992;6
125864;6
125871;6
125872;6
173232;6
100453;6
180633;6
139053;6
139052;6
138972;6
176619;6
117189;6
125837;6
162352;6
125809;6
180640;6
100506;6
172032;6
172052;6
172012;6
169552;6
176216;6
176215;6
117206;6
176322;6
117193;6
176242;6
117200;6
117201;6
176370;6
175883;6
180847;6
129078;6
129104;6
129143;6
179200;6
129130;6
129227;6
129165;6
129193;6
129191;6
129170;6
129162;6
129161;6
116830;6
116763;6
116762;6
175897;6
168033;6
121355;6
116858;6
116759;6
116760;6
116857;6
118832;6
124981;6
181358;6
180155;6
126016;6
183394;6
166452;6
116813;6
116826;6
116853;6
116852;6
137832;6
126078;6
126107;6
180329;6
180232;6
172932;6
125026;6
124702;6
116827;6
116828;6
116815;6
116854;6
116775;6
166453;6
180485;6
129252;6
129217;6
129215;6
129210;6
182296;6
125004;6
183454;6
117161;6
117162;6
152152;6
126105;6
124978;6
116781;6
116704;6
116707;6
116679;6
116729;6
116677;6
181332;6
181331;6
179944;6
179816;6
124876;6
125038;6
131492;6
116737;6
116736;6
135572;6
129255;6
129254;6
129256;6
180164;6
129426;6
129410;6
176650;6
152212;6
157372;6
116727;6
116747;6
116694;6
124920;6
100603;6
116735;6
116719;6
116801;6
130272;6
129382;6
100638;6
100637;6
100642;6
124431;6
129389;6
129411;6
180328;6
129400;6
129465;6
129464;6
129392;6
116574;6
182932;6
183166;6
129444;6
180667;6
129466;6
129402;6
129468;6
129467;6
129401;6
117154;6
150832;6
129341;6
129319;6
124415;6
100618;6
183585;6
164878;6
181604;6
129338;6
141567;6
141617;6
100636;6
179538;6
100639;6
100641;6
182281;6
100698;6
100697;6
100633;6
100631;6
100617;6
100630;6
100634;6
100635;6
141575;6
158953;6
141576;6
141639;6
143718;6
143715;6
143714;6
143713;6
143712;6
143694;6
117988;6
143092;6
129289;6
182280;6
100699;6
124435;6
124476;6
124475;6
124473;6
124396;6
175491;6
124398;6
179596;6
140212;6
100654;6
183355;6
183356;6
143553;6
175448;6
176241;6
121518;6
100656;6
100670;6
183627;6
100668;6
182020;6
124357;6
183414;6
182984;6
179125;6
100661;6
109392;6
165132;6
181479;6
141615;6
141612;6
141613;6
141571;6
143693;6
143692;6
141593;6
141637;6
141635;6
141634;6
141633;6
141589;6
141592;6
100767;6
100766;6
181676;6
100664;6
100663;6
141590;6
141577;6
181551;6
180122;6
132492;6
129362;6
129312;6
129318;6
129315;6
131552;6
129360;6
129317;6
180323;6
129314;6
129313;6
129301;6
181826;6
105433;6
129293;6
141563;6
141574;6
141578;6
141588;6
141586;6
141587;6
141583;6
181186;6
161012;6
141610;6
141611;6
141616;6
141614;6
141573;6
181938;6
105641;6
105462;6
105673;6
115637;6
105686;6
115644;6
100728;6
153152;6
141165;6
141238;6
141230;6
180490;6
141313;6
180437;6
141253;6
141254;6
141332;6
180296;6
129365;6
141257;6
141280;6
141281;6
141279;6
176572;6
115758;6
115786;6
179180;6
179179;6
183057;6
100701;6
181828;6
180423;6
141344;6
141308;6
141265;6
141329;6
165632;6
141327;6
141328;6
