GID;Repite
101898;1
101903;1
101913;1
101921;1
101964;1
105260;1
107734;1
107789;1
107790;1
107795;1
107796;1
107797;1
107801;1
107802;1
107803;1
107804;1
107806;1
107808;1
125931;1
125932;1
125933;1
134418;1
134487;1
134511;1
134664;1
138611;1
138813;1
138819;1
138821;1
138833;1
138837;1
138838;1
138846;1
138848;1
138850;1
138851;1
138859;1
138861;1
138869;1
138870;1
138871;1
138872;1
138873;1
138879;1
138880;1
138883;1
138900;1
138903;1
138905;1
138907;1
138909;1
138910;1
138911;1
138914;1
140132;1
141556;1
141558;1
141559;1
141572;1
141573;1
141601;1
141603;1
141628;1
141629;1
141643;1
142992;1
144512;1
144532;1
151732;1
153152;1
160192;1
176672;1
176941;1
176942;1
176943;1
176944;1
177035;1
177345;1
177501;1
179155;1
179158;1
179746;1
180946;1
181061;1
181065;1
181149;1
181150;1
181151;1
181557;1
181558;1
181589;1
181590;1
181666;1
182039;1
182045;1
182049;1
182086;1
182149;1
182853;1
183086;1
