GID;RANGO UNAP
100242;1
100243;1
100288;1
100290;1
100293;1
100295;1
100296;1
100299;1
100300;1
100302;1
100303;1
100304;1
100305;1
100306;1
100343;5
100344;5
100353;5
100354;5
100395;5
100396;5
100397;5
100417;5
100421;5
100424;5
100426;5
100427;5
100428;5
100431;1
100433;1
100434;1
100435;1
100436;5
100437;1
100438;3
100439;3
100440;3
100441;3
100442;3
100443;3
100444;3
100446;3
100449;1
100450;3
100451;5
100452;1
100453;1
100454;1
100455;1
100457;1
100458;1
100459;1
100460;1
100461;5
100462;1
100463;1
100464;1
100465;1
100466;3
100467;5
100468;3
100469;3
100470;3
100471;3
100472;3
100473;3
100474;3
100475;3
100476;3
100477;3
100478;3
100479;3
100480;3
100481;3
100482;3
100483;3
100484;3
100485;3
100486;3
100487;3
100488;3
100489;3
100491;5
100492;3
100493;3
100494;3
100496;3
100498;5
100499;3
100500;3
100501;3
100503;1
100504;1
100505;1
100506;1
100507;3
100508;1
100509;1
100510;1
100511;1
100512;1
100513;1
100514;1
100515;1
100532;5
100533;5
100535;5
100536;5
100537;5
100538;5
100540;5
100541;5
100543;5
100544;5
100546;5
100551;5
100552;5
100553;5
100556;5
100557;5
100558;5
100559;5
100560;5
100561;5
100562;5
100563;5
100564;5
100565;5
100566;5
100567;5
100569;5
100570;5
100571;5
100572;5
100573;5
100574;5
100575;5
100576;5
100577;5
100578;5
100579;5
100581;5
100582;5
100584;5
100585;5
100586;5
100587;5
100588;5
100591;5
100592;5
100593;5
100594;5
100595;5
100596;5
100597;5
100599;5
100600;5
100601;5
100603;5
100605;5
100606;5
100607;5
100608;5
100609;5
100610;5
100611;2
100615;1
100616;1
100617;1
100618;1
100619;1
100621;1
100622;1
100623;1
100624;1
100625;1
100629;1
100630;5
100631;1
100633;1
100634;1
100635;1
100636;1
100637;1
100638;1
100639;1
100640;1
100641;1
100642;1
100643;1
100645;1
100646;1
100647;1
100650;1
100651;1
100654;5
100656;5
100661;5
100663;5
100664;5
100665;5
100668;5
100670;5
100676;1
100679;2
100682;1
100683;2
100684;1
100685;1
100687;5
100689;1
100690;1
100691;5
100693;5
100695;1
100697;1
100698;1
100699;1
100700;1
100701;5
100705;1
100707;1
100709;1
100711;1
100712;1
100720;1
100725;1
100727;5
100728;1
100730;1
100731;1
100732;1
100741;1
100747;5
100749;1
100755;1
100756;1
100758;1
100759;1
100760;1
100762;1
100764;1
100765;1
100766;1
100767;1
100768;1
100770;1
100772;1
100773;1
100774;1
100775;5
100776;1
100777;1
100778;1
100779;1
100780;1
100787;1
100788;5
100790;5
100791;5
100794;5
100796;5
100804;1
100805;1
100806;1
100807;1
100809;1
100892;5
100933;5
101332;5
101333;1
101334;1
101336;1
101337;1
101339;1
101350;1
101355;1
101356;1
101358;1
101359;1
101364;1
101366;1
101367;1
101372;1
101377;1
101378;1
101383;1
101384;1
101386;1
101387;1
101388;1
101390;5
101391;1
101393;1
101394;1
101395;1
101396;1
101398;1
101400;1
101401;1
101402;1
101404;1
101406;1
101409;1
101410;1
101416;1
101418;1
101419;1
101420;1
101421;1
101423;1
101424;1
101425;1
101427;1
101428;1
101431;1
101432;1
101434;1
101435;1
101512;1
101514;1
101515;3
101516;3
101517;3
101518;1
101520;1
101523;1
101524;3
101525;5
101527;1
101528;1
101529;1
101530;3
101532;3
101534;3
101536;3
101537;3
101538;3
101552;1
101553;1
101554;1
101555;1
101557;1
101561;1
101562;1
101563;1
101564;1
101565;1
101566;3
101567;1
101569;3
101570;3
101572;3
101573;3
101575;3
101576;3
101577;1
101578;1
101579;1
101581;1
101582;1
101583;1
101584;1
101585;1
101590;1
101591;1
101592;1
101596;5
101601;1
101602;1
101603;1
101604;1
101605;1
101606;1
101607;1
101612;1
101614;1
101616;1
101618;1
101620;1
101621;1
101624;1
101629;1
101630;1
101632;1
101634;1
101635;1
101638;1
101639;1
101641;1
101642;1
101643;1
101645;1
101646;1
101647;1
101648;1
101649;1
101651;1
101652;1
101653;1
101656;1
101657;1
101658;1
101659;1
101660;1
101661;1
101662;1
101663;1
101664;1
101665;1
101666;1
101667;1
101668;1
101672;1
101675;1
101676;1
101678;1
101680;1
101681;1
101682;1
101688;1
101691;1
101692;1
101696;1
101697;1
101706;1
101707;1
101710;5
101711;1
101714;1
101715;1
101718;1
101719;1
101720;1
101721;1
101722;1
101723;1
101725;1
101872;5
101873;1
101875;5
101877;5
101879;5
101880;5
101881;5
101882;5
101883;5
101884;5
101885;5
101886;5
101887;1
101888;1
101891;1
101892;1
101893;1
101894;5
101895;5
101897;5
101898;1
101903;1
101904;1
101905;1
101907;1
101908;5
101909;1
101910;1
101912;1
101913;1
101914;1
101915;1
101916;1
101918;1
101920;1
101921;1
101922;1
101925;5
101926;5
101928;5
101929;5
101930;5
101935;5
101936;5
101937;5
101939;5
101940;5
101941;5
101942;5
101944;5
101945;5
101947;5
101948;5
101949;5
101950;5
101953;5
101954;5
101956;5
101957;5
101958;1
101959;1
101960;1
101961;1
101964;1
101965;5
101966;5
101967;5
101968;5
101972;5
101973;5
101974;1
102032;1
102033;1
102035;1
102036;1
102037;1
102038;1
102041;1
102042;1
102045;2
102046;1
102048;1
102051;1
102052;1
102053;1
102054;1
102055;1
102056;1
102057;1
102062;1
102067;1
102068;1
102069;1
102078;2
102079;5
102080;2
102081;2
102083;2
102084;2
102085;1
102086;2
102087;2
102092;2
102095;2
102096;1
102097;1
102098;1
102100;1
102101;1
102102;1
102103;1
102106;1
102107;1
102112;1
102113;1
102118;1
102119;5
102131;1
102133;1
102134;1
102136;1
102137;1
102138;1
102152;1
102154;1
102157;1
102158;1
102161;5
102162;1
102163;2
102165;1
102169;1
102172;1
102175;1
102179;1
102181;1
102182;1
102183;1
102192;1
102193;1
102194;1
102195;1
102197;5
102198;5
102205;5
102210;2
102211;5
102212;1
102213;1
102214;1
102215;1
102222;1
102223;5
102226;1
102227;1
102229;2
102230;1
102231;1
102234;1
102236;2
102238;2
102240;2
102242;2
102243;2
102244;2
102245;2
102247;1
102248;1
102254;1
102255;1
102256;5
102260;1
102261;5
102263;1
102277;5
102288;5
102289;1
102290;5
102316;1
102354;1
102355;1
102358;1
102359;1
102360;5
102361;1
102362;1
102364;1
102365;5
102366;1
102367;5
102368;1
102369;1
102370;1
102371;5
102374;1
102375;1
102378;1
102380;1
102381;1
102412;1
102413;5
102433;1
103273;1
104332;1
104352;1
104353;5
104356;5
104358;5
104361;5
104362;5
104363;5
104364;5
104366;5
104368;5
104369;5
104373;1
104374;1
104375;2
104376;5
104380;5
104383;2
104384;2
104385;2
104392;1
104393;1
104394;1
104395;1
104406;1
104408;2
104410;5
104415;2
104417;2
104418;2
104419;2
104420;2
104422;2
104425;1
104428;2
104435;5
104436;5
104852;1
105114;1
105195;5
105196;5
105197;5
105212;5
105230;5
105231;5
105232;5
105236;1
105237;5
105238;5
105241;5
105242;5
105243;5
105244;5
105245;5
105247;5
105249;1
105253;1
105254;1
105260;1
105266;1
105268;1
105269;1
105270;1
105271;1
105272;1
105274;1
105279;1
105280;1
105281;1
105282;1
105292;1
105293;1
105294;1
105302;1
105303;1
105304;1
105307;5
105308;1
105310;5
105312;1
105315;1
105316;1
105317;1
105319;1
105321;1
105322;1
105325;1
105329;1
105330;1
105332;5
105333;5
105336;5
105337;5
105338;1
105340;5
105341;5
105345;1
105347;5
105348;1
105349;1
105352;1
105353;1
105354;1
105355;1
105356;1
105361;1
105364;1
105365;5
105367;1
105372;1
105373;1
105375;5
105378;1
105379;1
105381;5
105384;5
105388;5
105389;5
105390;5
105391;5
105401;1
105402;1
105403;1
105405;1
105407;1
105409;1
105410;5
105413;1
105416;1
105417;1
105419;1
105420;1
105427;2
105429;2
105430;2
105432;2
105433;1
105438;2
105442;2
105443;2
105446;1
105450;1
105451;5
105453;1
105459;1
105462;1
105464;1
105479;1
105488;2
105489;2
105496;5
105497;2
105500;2
105503;2
105505;2
105506;1
105507;5
105508;2
105509;2
105518;2
105520;5
105521;5
105523;5
105524;5
105525;5
105526;5
105528;5
105529;5
105530;5
105531;5
105533;5
105534;5
105537;5
105538;5
105541;5
105543;5
105546;5
105547;5
105548;5
105549;5
105553;5
105555;5
105556;5
105558;5
105560;5
105561;5
105562;5
105564;5
105565;5
105566;5
105567;5
105569;5
105570;5
105571;5
105572;5
105575;5
105577;5
105578;5
105579;5
105580;5
105581;5
105582;5
105583;5
105584;5
105585;5
105586;5
105589;5
105590;5
105591;5
105592;5
105595;5
105598;5
105600;5
105601;5
105602;5
105603;5
105604;5
105605;5
105606;5
105607;5
105609;5
105610;5
105612;5
105613;5
105614;5
105615;5
105616;5
105618;5
105619;5
105620;5
105622;5
105623;5
105630;1
105631;1
105632;1
105635;1
105636;1
105637;1
105639;5
105641;1
105654;1
105655;1
105656;1
105658;1
105659;1
105663;1
105673;5
105678;1
105679;1
105681;1
105683;1
105685;1
105686;1
105688;1
105689;1
105691;1
105693;1
105932;5
105933;5
105972;5
106892;1
106912;1
106914;1
106915;1
106916;1
106917;1
106919;1
106920;1
106921;1
106923;1
106924;1
106925;1
106926;1
106929;1
106931;1
106933;1
106934;1
106935;1
106936;1
106938;1
106939;1
106942;1
106945;1
106946;1
106948;1
106949;1
106950;1
106951;1
106952;1
106953;1
106954;1
106955;1
106956;1
106957;1
106958;1
106959;1
106966;1
106967;1
106969;1
106970;1
106971;1
106973;1
106974;1
106975;1
106976;1
106977;1
106978;1
106979;1
106982;1
106983;1
106988;1
106991;1
106992;1
106994;1
106995;1
106997;1
106998;1
107000;1
107001;1
107005;1
107006;1
107007;1
107008;1
107009;1
107011;3
107018;1
107020;1
107021;1
107023;1
107025;1
107026;1
107027;1
107028;1
107029;1
107030;1
107031;1
107032;1
107033;1
107034;1
107035;1
107036;1
107037;1
107040;1
107044;1
107045;3
107046;1
107047;1
107048;1
107049;1
107050;1
107051;1
107052;1
107056;1
107057;3
107059;3
107060;3
107066;1
107067;1
107068;1
107069;1
107070;1
107071;1
107072;1
107073;1
107074;1
107075;1
107076;1
107079;1
107080;1
107081;1
107082;1
107083;1
107084;1
107086;1
107087;1
107088;1
107090;1
107091;1
107092;1
107093;1
107094;1
107097;1
107098;1
107099;1
107100;1
107103;1
107104;1
107105;1
107108;1
107109;1
107110;3
107111;1
107112;1
107115;1
107116;1
107118;3
107120;1
107121;1
107122;3
107123;3
107126;3
107127;3
107128;1
107129;1
107130;1
107131;1
107132;1
107134;5
107136;1
107137;1
107138;1
107139;1
107140;1
107141;1
107142;1
107145;3
107146;3
107147;5
107148;5
107149;5
107151;5
107152;3
107153;5
107154;2
107155;5
107156;5
107158;3
107159;3
107161;3
107170;3
107171;3
107172;3
107173;2
107174;2
107176;2
107177;2
107178;2
107179;2
107181;3
107182;2
107183;2
107184;2
107186;2
107187;5
107189;2
107190;2
107191;2
107192;2
107193;3
107194;3
107195;1
107196;1
107197;2
107198;1
107199;1
107201;1
107292;3
107293;5
107299;5
107300;3
107301;3
107302;3
107303;3
107304;3
107305;3
107306;3
107307;3
107308;3
107309;3
107310;3
107311;3
107312;3
107313;3
107314;3
107315;3
107316;3
107319;3
107323;3
107324;3
107325;3
107326;3
107328;3
107330;5
107333;5
107334;5
107335;5
107357;5
107359;5
107362;2
107363;2
107365;5
107366;2
107367;5
107368;5
107369;2
107370;5
107374;5
107375;5
107376;5
107377;5
107378;5
107379;5
107380;5
107381;2
107389;3
107392;2
107395;2
107397;2
107398;1
107400;1
107404;2
107405;2
107406;2
107408;2
107410;2
107413;1
107415;1
107416;1
107419;1
107421;1
107422;1
107425;2
107426;2
107427;2
107429;2
107430;2
107431;2
107434;2
107437;2
107439;2
107440;2
107441;2
107442;2
107443;2
107444;2
107446;2
107447;2
107454;2
107455;2
107459;2
107461;2
107463;1
107464;2
107467;2
107468;2
107471;2
107472;2
107473;2
107474;1
107479;2
107482;2
107483;2
107484;2
107485;2
107486;2
107487;2
107488;2
107489;2
107491;2
107492;2
107493;2
107494;2
107496;2
107497;2
107498;2
107499;2
107500;2
107501;2
107504;2
107505;2
107506;2
107507;2
107508;2
107511;1
107513;2
107514;1
107516;1
107517;1
107518;1
107520;1
107521;2
107523;2
107524;2
107526;1
107528;2
107530;2
107531;2
107532;2
107533;2
107534;2
107538;1
107540;2
107541;2
107542;2
107543;2
107544;2
107549;2
107552;2
107553;2
107554;2
107555;2
107556;2
107557;2
107561;2
107562;2
107563;2
107564;2
107565;2
107567;2
107568;1
107570;2
107571;2
107572;1
107573;1
107574;2
107575;1
107576;2
107579;2
107580;2
107586;1
107587;1
107588;1
107589;5
107590;1
107591;1
107592;1
107599;1
107600;1
107601;1
107607;2
107611;2
107616;1
107621;2
107623;2
107627;1
107628;1
107632;1
107636;1
107640;2
107641;2
107642;2
107643;2
107649;2
107650;2
107653;2
107654;5
107657;2
107660;2
107662;2
107663;1
107664;1
107665;2
107671;1
107676;1
107678;1
107680;1
107681;1
107682;1
107683;1
107684;1
107689;1
107690;1
107691;1
107693;1
107697;1
107698;1
107699;1
107700;1
107703;1
107708;1
107709;1
107711;1
107712;1
107713;1
107715;2
107716;2
107717;2
107718;2
107719;1
107722;1
107723;1
107731;1
107734;1
107735;1
107736;1
107740;1
107741;1
107742;1
107743;1
107748;2
107749;1
107751;1
107754;2
107759;2
107760;2
107762;2
107764;2
107765;2
107773;1
107782;1
107784;1
107786;1
107787;1
107788;1
107789;1
107790;1
107791;1
107792;1
107793;1
107795;1
107796;1
107797;1
107801;1
107802;1
107803;1
107804;1
107805;1
107806;1
107807;1
107808;1
107809;1
107815;1
107818;1
107820;1
107821;1
107822;1
107824;1
107827;1
107828;5
107829;1
107831;1
107837;1
107838;1
107839;1
107840;1
107841;1
107842;1
107843;1
107844;1
107845;1
107847;1
107848;1
107849;1
107852;1
107856;5
107858;1
107859;1
107861;1
107862;5
107864;5
107865;5
107866;1
107867;1
107868;1
107869;1
107870;1
107871;1
107872;1
107873;1
107876;5
107877;1
107878;1
107879;1
107880;1
107881;1
107883;5
