GID;Acumulacion_general
124158;6
100498;6
180375;6
100477;6
124075;6
183144;6
182279;6
183897;6
141698;6
125954;6
183989;6
100501;6
175768;6
159312;6
129402;6
152114;6
180365;6
104395;6
179117;6
133969;6
142473;6
184224;6
142302;6
142181;6
102261;6
180696;6
102198;6
126004;6
115665;6
115663;6
115734;6
160652;6
141749;6
141664;6
180348;6
182154;6
181202;6
183157;6
156552;6
141929;6
141820;6
141771;6
141769;6
179048;6
124330;6
124319;6
124160;6
181250;6
180192;6
180193;6
104366;6
182097;6
104376;6
140852;6
184193;6
114418;6
125985;6
124398;6
124442;6
124443;6
114511;6
115732;6
181335;6
181259;6
125988;6
182876;6
115258;6
102161;6
102205;6
184249;6
142505;6
142523;6
183839;6
182346;6
180973;6
180974;6
102243;6
143752;6
124304;6
183925;6
124468;6
183823;6
176325;6
157052;6
124302;6
175032;6
183548;6
124256;6
183154;6
184220;6
124201;6
124264;6
124230;6
124438;6
179596;6
124435;6
125272;6
124317;6
179263;6
179745;6
180994;6
181392;6
124476;6
124472;6
124473;6
175491;6
124923;6
124892;6
154619;6
142489;6
142488;6
142008;6
142575;6
142543;6
142499;6
142534;6
129673;6
129674;6
180644;6
129598;6
102096;6
184239;6
181589;6
144052;6
102133;6
102131;6
102035;6
102053;6
129360;6
124936;6
100597;6
180073;6
124880;6
184378;6
181078;6
142578;6
129476;6
181036;6
124932;6
181097;6
181096;6
143613;6
180129;6
180128;6
177345;6
177501;6
144532;6
144512;6
129529;6
167452;6
179891;6
179881;6
179902;6
179894;6
141471;6
176494;6
184330;6
184182;6
184183;6
183029;6
183971;6
181944;6
129580;6
129489;6
129534;6
181945;6
142591;6
181590;6
117157;6
131974;6
129702;6
141266;6
141320;6
125040;6
172312;6
172313;6
181620;6
128193;6
125041;6
100543;6
141442;6
184190;6
141396;6
183617;6
141369;6
141368;6
126130;6
126092;6
102365;6
183996;6
125048;6
124991;6
176346;6
124990;6
176345;6
176344;6
125036;6
100630;6
183007;6
125043;6
176586;6
125046;6
125044;6
125047;6
125042;6
125021;6
182296;6
125004;6
125011;6
125053;6
125016;6
125014;6
101612;6
174952;6
140272;6
102378;6
135232;6
141312;6
180374;6
179696;6
179695;6
124978;6
124980;6
125038;6
100631;6
180296;6
184438;6
184437;6
101624;6
158774;6
102358;6
141348;6
141311;6
184203;6
175106;6
180505;6
134488;6
107075;6
181240;6
183627;6
134972;6
100679;6
101527;6
183564;6
101581;6
101555;6
141313;6
141314;6
184366;6
141322;6
141321;6
141316;6
141340;6
141262;6
179311;6
184423;6
182294;6
183571;6
101530;6
101538;6
101534;6
163532;6
183051;6
183054;6
125192;6
124809;6
183004;6
147532;6
181399;6
124807;6
124808;6
179317;6
124854;6
172612;6
178948;6
181693;6
176789;6
101532;6
101517;6
101576;6
101516;6
101515;6
101554;6
183814;6
181796;6
101579;6
100701;6
177167;6
181198;6
138455;6
143713;6
143712;6
143694;6
143693;6
143692;6
141580;6
141631;6
181365;6
179765;6
180889;6
126098;6
126078;6
126107;6
143714;6
116617;6
180856;6
118005;6
130292;6
180687;6
143718;6
143715;6
181185;6
181184;6
172932;6
180155;6
180167;6
126095;6
180329;6
180232;6
184214;6
183394;6
125851;6
184034;6
184382;6
179818;6
182282;6
179782;6
169392;6
129069;6
160512;6
101966;6
177359;6
101941;6
101940;6
101872;6
117193;6
176321;6
176619;6
182853;6
105464;6
105453;6
181829;6
105658;6
105659;6
105636;6
175933;6
118692;6
105365;6
129145;6
129117;6
129116;6
129115;6
129135;6
129146;6
180081;6
129114;6
129057;6
183427;6
176676;6
180557;6
129152;6
179847;6
129134;6
105378;6
177391;6
109013;6
107459;6
183993;6
101920;6
181219;6
181218;6
105656;6
129147;6
129062;6
129061;6
129118;6
105381;6
181942;6
105450;6
105451;6
162952;6
105417;6
130652;6
105654;6
182265;6
182264;6
105655;6
180651;6
105635;6
138860;6
105537;6
184398;6
129104;6
115652;6
184054;6
115650;6
