GID;Acumulacion_general
142546;6
124149;6
125174;6
142008;6
176366;6
146173;6
142542;6
115663;6
102193;6
182101;6
102192;6
175358;6
141881;6
184053;6
102161;6
102205;6
102211;6
104395;6
102227;6
164592;6
102212;6
143272;6
182332;6
129238;6
177432;6
105639;6
184031;6
184030;6
129104;6
177290;6
129468;6
180365;6
182307;6
148053;6
182025;6
141292;6
141442;6
141434;6
176494;6
142685;6
142113;6
142641;6
183971;6
178938;6
176309;6
183377;6
183419;6
141749;6
141698;6
115788;6
129397;6
182928;6
117912;6
129207;6
129221;6
129244;6
129147;6
129656;6
129673;6
129674;6
180644;6
138813;6
183323;6
183569;6
141157;6
114397;6
180583;6
114375;6
181301;6
164878;6
166552;6
180161;6
179117;6
129360;6
183296;6
138810;6
183510;6
138778;6
162614;6
114348;6
114456;6
183366;6
138775;6
141133;6
141132;6
156672;6
181975;6
181417;6
134808;6
179154;6
183563;6
167452;6
105450;6
146712;6
129662;6
114246;6
177479;6
183073;6
129515;6
129574;6
175347;6
183867;6
134617;6
134719;6
183571;6
177304;6
181626;6
134492;6
176126;6
183827;6
181815;6
179231;6
183046;6
142290;6
177408;6
183053;6
124642;6
177511;6
124662;6
101596;6
124578;6
180744;6
180745;6
105345;6
180856;6
116647;6
141576;6
105310;6
105381;6
105330;6
181390;6
181487;6
124868;6
124837;6
147532;6
101649;6
183506;6
116671;6
116665;6
176524;6
169352;6
181850;6
116660;6
105307;6
182243;6
105365;6
179818;6
134391;6
170472;6
125851;6
145232;6
124854;6
183152;6
169392;6
106978;6
108372;6
179129;6
172612;6
181693;6
183826;6
184128;6
125031;6
179993;6
125048;6
124992;6
176346;6
125021;6
182296;6
125004;6
101678;6
125014;6
179801;6
124264;6
180257;6
114511;6
114527;6
180993;6
183526;6
180056;6
180057;6
124934;6
124932;6
125038;6
125036;6
125044;6
116741;6
183311;6
124201;6
124231;6
183180;6
116813;6
124415;6
157052;6
124472;6
181097;6
181098;6
124936;6
124944;6
180050;6
124907;6
124923;6
124892;6
183823;6
175366;6
118832;6
133969;6
133994;6
117832;6
126123;6
124476;6
124475;6
124469;6
171552;6
180220;6
125988;6
125985;6
183394;6
124435;6
142273;6
184122;6
184121;6
181840;6
183229;6
116781;6
134832;6
182274;6
133914;6
133912;6
180192;6
180193;6
133970;6
184001;6
166812;6
125272;6
181292;6
183367;6
183368;6
107922;6
166572;6
183548;6
116694;6
116735;6
116676;6
124160;6
102261;6
181944;6
142588;6
