GID;Repite
107174;1
107845;1
107852;1
107856;1
107858;1
107859;1
107864;1
107865;1
107866;1
107867;1
107868;1
107869;1
107870;1
107871;1
107872;1
107876;1
107877;1
107878;1
107879;1
107880;1
107883;1
107890;1
107891;1
107893;1
107895;1
114234;1
114235;1
114267;1
119492;1
124127;1
124730;1
124732;1
129563;1
133903;1
133905;1
133934;1
133995;1
133996;1
133997;1
133998;1
133999;1
134014;1
134038;1
134039;1
134040;1
134042;1
134043;1
134058;1
134065;1
134068;1
134072;1
134073;1
134082;1
141206;1
142603;1
142604;1
142606;1
142608;1
142613;1
142634;1
142635;1
146412;1
147632;1
162332;1
164053;1
175355;1
175433;1
175434;1
175436;1
175694;1
175696;1
176805;1
177124;1
177125;1
177126;1
177127;1
177128;1
177129;1
177130;1
177131;1
177132;1
177134;1
177135;1
177252;1
177483;1
178984;1
179074;1
179124;1
179178;1
179749;1
179750;1
179751;1
179752;1
179869;1
179870;1
179872;1
179873;1
179874;1
179875;1
179876;1
179877;1
179878;1
179880;1
179882;1
179885;1
179886;1
179887;1
179888;1
179890;1
179891;1
179892;1
179893;1
179894;1
179895;1
179899;1
179900;1
179901;1
179902;1
179903;1
179904;1
179905;1
179906;1
179908;1
179909;1
179910;1
179912;1
179914;1
179915;1
179916;1
179917;1
179918;1
180113;1
180232;1
180359;1
180419;1
180581;1
180685;1
180686;1
180698;1
180699;1
180803;1
180969;1
181184;1
181185;1
181411;1
181592;1
181898;1
181899;1
181952;1
182087;1
182971;1
183139;1
183344;1
183345;1
183495;1
183637;1
183638;1
183648;1
183800;1
183929;1
183950;1
183982;1
184163;1
184164;1
184250;1
