GID;RANGO UNAP
100242;1
100243;1
100288;1
100290;1
100293;1
100295;1
100296;1
100299;1
100300;1
100302;1
100303;1
100304;1
100305;1
100306;1
100343;2
100344;2
100353;2
100354;2
100395;2
100397;2
100417;2
100421;2
100424;2
100426;2
100427;2
100431;1
100433;1
100434;1
100435;1
100436;1
100437;1
100438;1
100439;1
100440;1
100443;1
100444;1
100446;1
100449;1
100450;1
100451;1
100452;1
100453;1
100454;1
100455;1
100457;1
100458;1
100459;1
100460;5
100461;1
100462;1
100463;1
100464;1
100465;1
100466;1
100467;1
100468;5
100469;1
100471;1
100472;1
100473;1
100474;1
100475;1
100476;1
100477;1
100479;1
100480;1
100481;1
100482;1
100483;1
100484;1
100486;1
100487;1
100488;1
100489;3
100491;1
100492;1
100493;1
100494;1
100496;1
100498;1
100499;1
100500;1
100501;1
100503;1
100504;1
100505;1
100506;5
100507;1
100508;1
100509;5
100510;1
100511;1
100512;1
100513;1
100514;1
100515;1
100532;2
100533;2
100535;2
100536;2
100537;2
100538;2
100540;2
100541;2
100543;2
100544;2
100546;2
100551;2
100552;2
100553;2
100556;2
100557;2
100558;2
100559;2
100560;5
100561;2
100562;5
100563;5
100564;2
100565;2
100566;2
100567;2
100569;2
100570;2
100571;2
100572;2
100573;2
100574;2
100575;2
100576;2
100577;2
100578;2
100579;5
100581;2
100582;2
100584;2
100585;2
100586;2
100587;2
100588;2
100591;2
100592;2
100593;2
100594;2
100595;2
100596;2
100597;2
100599;2
100600;2
100601;2
100603;2
100605;2
100606;2
100607;2
100608;2
100609;2
100610;2
100611;1
100615;1
100616;1
100617;1
100618;1
100619;1
100621;1
100622;1
100623;1
100624;1
100625;1
100629;1
100630;5
100631;1
100633;1
100634;1
100635;1
100636;1
100637;1
100638;1
100639;1
100640;1
100641;1
100642;1
100643;1
100645;5
100646;1
100647;1
100650;1
100651;1
100654;1
100656;1
100661;1
100663;1
100664;1
100665;1
100668;1
100670;5
100676;1
100679;1
100682;1
100683;1
100684;1
100685;1
100687;1
100689;1
100690;1
100691;1
100693;1
100695;1
100697;1
100698;1
100699;1
100700;1
100701;5
100702;1
100705;2
100707;2
100709;2
100711;2
100712;2
100720;2
100725;2
100727;2
100728;2
100730;2
100731;2
100732;2
100741;2
100747;5
100749;2
100755;2
100756;2
100758;2
100759;2
100760;2
100762;2
100764;2
100765;2
100766;2
100767;2
100768;2
100770;2
100772;2
100773;2
100774;2
100775;2
100776;2
100777;2
100778;2
100779;2
100780;2
100787;2
100790;2
100791;2
100794;2
100796;2
100804;2
100805;2
100806;2
100807;2
100809;2
100892;2
101332;5
101333;1
101334;1
101336;1
101337;1
101339;1
101350;2
101355;1
101356;1
101358;1
101359;2
101364;2
101366;2
101367;2
101372;2
101377;2
101378;2
101384;5
101386;5
101387;5
101388;5
101390;5
101391;1
101393;1
101394;1
101395;1
101396;1
101398;1
101400;1
101401;1
101402;1
101404;1
101406;1
101409;1
101410;1
101416;2
101418;2
101419;5
101420;1
101421;1
101423;1
101424;1
101425;1
101427;1
101428;1
101431;5
101432;5
101434;1
101435;1
101512;1
101514;3
101515;1
101516;1
101517;5
101518;5
101520;3
101523;5
101524;3
101525;3
101527;3
101528;3
101530;1
101532;1
101534;1
101536;1
101537;1
101538;1
101552;1
101553;1
101554;1
101555;3
101557;3
101561;3
101562;3
101563;3
101564;3
101565;3
101566;1
101567;1
101568;3
101569;3
101570;3
101572;3
101573;3
101575;1
101576;1
101577;1
101578;1
101579;1
101581;1
101582;1
101583;1
101584;1
101585;1
101590;1
101591;1
101592;1
101596;1
101601;3
101602;3
101603;3
101604;3
101605;3
101606;3
101607;3
101612;3
101614;3
101616;3
101618;3
101620;3
101621;3
101624;3
101629;3
101630;3
101632;1
101634;1
101635;2
101638;1
101639;1
101641;1
101642;1
101643;1
101645;1
101646;1
101647;5
101648;1
101649;1
101651;1
101652;1
101653;1
101656;1
101657;1
101658;1
101659;1
101660;1
101661;1
101662;1
101663;1
101664;1
101665;1
101666;1
101667;1
101668;1
101672;5
101675;1
101676;2
101678;2
101680;2
101681;2
101682;2
101688;2
101691;2
101692;2
101696;2
101697;2
101706;5
101707;5
101710;5
101711;5
101714;1
101715;1
101717;5
101718;5
101719;5
101720;5
101721;5
101722;5
101723;5
101725;1
101872;5
101873;1
101875;1
101879;1
101880;1
101881;1
101882;1
101884;1
101885;1
101886;1
101887;1
101888;1
101891;1
101892;1
101894;1
101895;1
101897;1
101898;1
101903;1
101904;1
101905;1
101907;1
101908;1
101909;1
101913;1
101914;1
101915;1
101916;5
101918;5
101920;1
101921;1
101922;1
101925;1
101926;1
101928;1
101929;1
101930;1
101936;1
101937;1
101939;1
101940;5
101941;5
101942;1
101944;1
101945;1
101947;1
101948;1
101949;1
101950;1
101953;5
101954;1
101956;1
101957;1
101958;1
101959;1
101960;1
101961;1
101964;1
101965;1
101966;5
101967;1
101968;1
101972;1
101973;1
101974;5
102032;2
102033;2
102035;2
102036;2
102037;2
102038;2
102041;2
102042;2
102045;2
102046;2
102048;2
102051;2
102052;2
102053;2
102054;2
102055;2
102056;2
102057;2
102062;2
102067;2
102068;2
102069;2
102078;2
102079;2
102080;2
102081;2
102083;2
102084;2
102085;2
102086;2
102087;2
102092;2
102095;2
102096;2
102097;2
102098;2
102100;2
102101;2
102102;2
102103;2
102106;2
102107;2
102112;2
102113;2
102118;2
102119;2
102131;2
102133;2
102134;2
102136;2
102137;2
102138;2
102152;5
102153;1
102154;1
102157;1
102158;1
102161;5
102162;1
102163;1
102165;1
102169;1
102172;1
102175;1
102179;1
102181;1
102182;1
102183;1
102192;5
102193;1
102194;1
102195;1
102197;5
102198;1
102205;5
102210;1
102211;1
102212;5
102213;1
102214;1
102215;1
102222;1
102223;1
102225;1
102226;5
102227;5
102229;1
102230;1
102231;1
102234;1
102236;1
102238;1
102240;1
102242;1
102243;1
102244;1
102245;1
102247;1
102248;1
102254;1
102255;1
102256;1
102260;1
102261;1
102263;1
102277;1
102288;1
102289;1
102290;1
102316;1
102354;1
102355;1
102358;1
102359;1
102360;1
102361;1
102362;5
102364;1
102365;1
102366;1
102367;1
102368;1
102369;1
102370;1
102371;1
102374;1
102375;1
102378;1
102380;1
102381;1
102412;2
102413;2
102433;2
103273;2
104332;3
104352;1
104353;1
104356;1
104358;1
104361;1
104362;1
104363;1
104364;1
104366;1
104368;1
104369;1
104373;1
104374;1
104375;1
104376;5
104383;1
104384;1
104385;1
104392;5
104393;1
104394;1
104395;5
104406;1
104408;1
104410;1
104417;1
104418;5
104419;5
104420;1
104422;1
104425;5
104428;1
104435;1
104436;1
104852;1
105114;2
105195;5
105197;5
105212;5
105230;5
105231;5
105232;5
105244;5
105245;5
105247;5
105249;5
105253;5
105254;5
105260;5
105266;5
105268;5
105269;5
105270;5
105271;5
105272;5
105274;5
105279;5
105280;5
105281;5
105282;5
105292;5
105293;5
105294;5
105302;1
105303;1
105304;1
105307;5
105308;1
105310;5
105321;5
105322;5
105324;5
105325;5
105329;5
105330;5
105332;1
105333;1
105336;1
105337;1
105338;1
105340;1
105341;1
105345;5
105347;1
105348;5
105365;5
105367;5
105368;5
105372;1
105373;1
105375;1
105378;5
105379;5
105381;5
105384;1
105388;1
105389;1
105390;1
105391;1
105401;1
105402;1
105403;1
105405;1
105407;1
105409;5
105410;1
105413;2
105416;2
105417;5
105419;2
105420;2
105427;5
105429;2
105430;2
105432;2
105433;5
105438;5
105442;2
105443;2
105446;2
105450;2
105451;2
105453;2
105459;2
105462;2
105464;2
105488;2
105489;5
105496;5
105497;5
105500;5
105503;5
105505;2
105506;5
105507;2
105508;2
105509;2
105518;5
105520;5
105521;5
105523;5
105524;5
105525;5
105526;5
105528;5
105529;5
105533;5
105534;5
105537;5
105538;5
105541;5
105542;5
105543;5
105546;5
105547;5
105549;5
105566;5
105602;5
105603;1
105604;5
105605;5
105606;5
105607;5
105609;5
105610;5
105612;5
105613;1
105614;5
105615;5
105616;5
105618;5
105631;1
105632;1
105635;1
105636;1
105637;1
105639;1
105641;1
105654;1
105655;1
105656;1
105657;1
105658;1
105659;1
105663;1
105673;1
105678;1
105679;5
105681;1
105683;1
105685;1
105686;1
105688;5
105689;5
105691;1
105693;1
105932;1
105933;1
106892;1
106912;1
106914;1
106915;1
106916;1
106917;1
106919;1
106920;1
106921;1
106923;1
106924;1
106925;1
106926;1
106929;1
106931;1
106933;1
106934;1
106935;1
106936;1
106938;1
106939;1
106942;1
106945;1
106946;1
106948;1
106949;1
106950;1
106951;1
106952;1
106953;1
106954;1
106955;1
106956;1
106957;1
106958;1
106959;1
106966;1
106967;1
106969;1
106970;1
106971;1
106973;1
106974;1
106975;1
106976;1
106977;1
106978;3
106979;1
106982;5
106983;1
106988;1
106991;1
106992;1
106994;1
106995;1
106997;1
106998;1
107000;1
107001;1
107005;1
107006;1
107007;1
107008;1
107009;1
107011;2
107018;1
107020;1
107021;1
107023;1
107025;1
107026;2
107028;2
107029;1
107030;1
107031;1
107032;1
107033;1
107034;1
107035;1
107036;1
107037;1
107040;1
107044;1
107045;1
107046;1
107047;1
107048;1
107049;2
107050;2
107051;2
107052;2
107056;2
107057;2
107059;2
107060;2
107066;1
107067;1
107068;1
107069;1
107070;1
107071;1
107072;1
107073;1
107074;1
107075;1
107076;1
107079;1
107080;1
107081;1
107082;1
107083;1
107084;2
107086;1
107087;1
107088;1
107090;1
107091;1
107092;1
107093;1
107094;1
107097;1
107098;1
107099;1
107100;1
107103;1
107104;1
107105;1
107108;1
107109;1
107110;1
107111;1
107112;1
107115;1
107116;1
107118;3
107120;1
107121;1
107122;3
107123;1
107126;1
107127;1
107128;1
107129;1
107130;1
107131;1
107132;1
107134;3
107136;1
107137;1
107138;1
107139;1
107140;1
107141;1
107145;1
107146;1
107147;3
107148;3
107149;3
107151;3
107152;3
107153;3
107154;1
107155;3
107156;3
107158;1
107159;1
107161;1
107170;1
107171;1
107172;1
107173;1
107174;1
107176;1
107177;1
107178;1
107179;1
107181;1
107182;1
107183;1
107184;1
107186;3
107187;3
107189;3
107190;1
107191;1
107192;1
107193;1
107194;1
107195;1
107196;1
107197;1
107198;1
107199;1
107201;1
107292;1
107293;1
107299;1
107300;1
107301;1
107302;1
107303;1
107304;1
107305;1
107306;1
107307;1
107308;1
107309;1
107310;1
107311;1
107312;1
107313;1
107314;1
107315;1
107316;1
107319;1
107323;1
107324;1
107325;1
107326;1
107328;1
107330;1
107333;1
107334;1
107335;1
107357;1
107359;1
107362;1
107363;1
107365;1
107366;1
107367;1
107368;1
107369;1
107370;5
107374;1
107375;1
107376;1
107377;1
107378;1
107379;1
107380;1
107381;1
107389;1
107392;1
107395;5
107397;1
107398;5
107400;5
107404;1
107405;1
107406;1
107408;1
107410;1
107413;5
107415;5
107416;5
107419;5
107421;5
107422;5
107425;5
107426;5
107427;5
107429;5
107430;1
107431;5
107434;5
107437;1
107439;1
107440;1
107441;1
107442;5
107443;1
107444;1
107446;1
107447;1
107454;1
107455;5
107459;1
107461;1
107463;5
107467;5
107468;5
107471;5
107472;5
107473;1
107474;5
107479;5
107482;5
107483;5
107484;5
107485;5
107486;5
107487;1
107488;1
107489;1
107491;5
107492;5
107493;5
107494;5
107496;1
107497;1
107498;1
107499;1
107500;1
107501;1
107504;1
107505;1
107506;1
107507;1
107508;1
107511;2
107514;2
107516;2
107517;2
107520;1
107521;2
107526;2
107530;1
107531;1
107532;1
107538;2
107552;1
107553;1
107554;1
107555;2
107556;1
107557;1
107561;2
107562;1
107563;1
107564;1
107565;1
107567;1
107568;1
107570;2
107571;2
107572;1
107573;1
107574;2
107576;1
107579;2
107580;2
107586;2
107587;2
107588;5
107589;5
107590;5
107591;2
107592;2
107599;2
107600;2
107601;2
107616;1
107623;2
107627;1
107628;1
107632;1
107636;1
107640;2
107641;2
107642;2
107643;2
107649;2
107650;2
107653;2
107654;5
107657;2
107671;1
107676;1
107678;1
107680;1
107681;1
107682;1
107683;1
107684;1
107689;1
107690;1
107691;1
107693;1
107697;1
107698;1
107699;1
107700;1
107703;1
107708;1
107709;1
107712;1
107713;1
107715;1
107716;1
107718;1
107719;1
107722;2
107723;2
107731;2
107734;5
107735;2
107736;2
107740;5
107741;5
107742;5
107743;5
107748;2
107749;2
107751;2
107754;2
107759;2
107760;2
107761;2
107762;2
107764;2
107765;2
107773;2
107782;2
107784;2
107786;2
107787;2
107788;2
107789;5
107790;5
107791;2
107792;2
107793;2
107795;5
107796;5
107797;5
107801;5
107802;5
107803;5
107804;5
107805;5
107806;5
107807;5
107808;5
107809;5
107815;5
107818;5
107820;5
107821;5
107822;5
107824;5
107827;2
107828;2
107829;2
107831;2
107837;2
107838;2
107839;2
107840;2
107841;2
107842;2
107843;1
107844;1
107845;1
107847;1
107848;1
107849;1
107852;1
107856;1
107858;1
107859;1
107861;1
107862;1
107864;1
107865;1
107866;1
107867;1
107868;1
107869;1
107870;1
107871;1
107872;1
107873;1
107876;1
107877;1
107878;1
107879;1
107880;1
107881;1
107883;1
107884;1
107885;1
107890;1
107891;1
107893;1
107894;1
107895;1
107896;1
107897;1
107898;1
107899;1
107900;1
107901;1
107903;1
107904;1
107906;1
107908;1
107910;1
107911;1
107917;1
107918;1
107920;1
107921;1
107922;1
107923;1
107952;1
107953;1
108132;1
108153;1
108172;1
108212;1
108372;1
108872;1
109012;1
109013;1
109032;5
109092;2
109172;1
109392;1
109872;1
111832;2
111872;3
112872;1
112893;2
113232;5
113332;1
113532;1
113572;1
113812;2
113972;2
113992;2
114232;5
114234;1
114235;1
114238;1
114240;5
114242;5
114243;5
114244;5
114245;5
114246;5
114250;5
114251;5
114253;5
114254;5
114255;5
114256;5
114257;1
114259;5
114263;5
114264;5
114265;1
114266;1
114267;1
114269;1
114272;5
114273;1
114275;5
114276;5
114282;2
114283;2
114284;2
114289;2
114290;2
114293;2
114294;2
114296;2
114298;2
114299;2
114300;2
114302;2
114303;2
114304;2
114305;2
114306;2
114307;2
114308;2
114309;2
114310;2
