GID;Acumulacion_general
164012;6
126007;6
126008;6
137212;6
143932;6
125918;6
125919;6
125976;6
180214;6
125977;6
180215;6
125916;6
182116;6
175818;6
126004;6
179936;6
125921;6
137772;6
100389;6
176947;6
183322;6
183131;6
176900;6
181112;6
172174;6
114315;6
114284;6
114303;6
114329;6
114316;6
114304;6
114296;6
176776;6
181754;6
100375;6
139992;6
181381;6
100338;6
100410;6
100373;6
167153;6
167152;6
100370;6
100369;6
114298;6
114299;6
176221;6
176222;6
114306;6
171492;6
100366;6
100337;6
100419;6
100364;6
100336;6
100363;6
100362;6
100418;6
100361;6
100376;6
175492;6
114426;6
180583;6
177088;6
114458;6
114465;6
114478;6
114479;6
114477;6
114445;6
181780;6
181779;6
181781;6
114449;6
100430;6
100368;6
181115;6
181114;6
180874;6
114453;6
114452;6
114451;6
115723;6
100498;6
123094;6
175768;6
100488;6
115709;6
181250;6
115715;6
176283;6
115821;6
115794;6
182279;6
115775;6
115779;6
115780;6
115787;6
181246;6
100493;6
179539;6
100496;6
100487;6
115681;6
183234;6
115637;6
115643;6
115661;6
180725;6
115644;6
124074;6
124137;6
124220;6
100485;6
100476;6
100438;6
124250;6
124222;6
124175;6
124233;6
124203;6
124270;6
124280;6
124183;6
124190;6
124302;6
124319;6
182978;6
125272;6
183418;6
124372;6
183416;6
124348;6
124377;6
183417;6
124435;6
124427;6
124423;6
124394;6
175491;6
181701;6
181702;6
181725;6
181703;6
175371;6
138741;6
179036;6
124469;6
124475;6
100436;6
100469;6
124447;6
176325;6
124478;6
183296;6
183297;6
181107;6
181806;6
180204;6
180709;6
181244;6
124429;6
124430;6
124431;6
124432;6
124468;6
124482;6
138796;6
100586;6
100576;6
100577;6
100508;6
100509;6
100449;6
100431;6
183040;6
183039;6
183038;6
100452;6
100503;6
100790;6
117162;6
100794;6
100788;6
100582;6
100892;6
100584;6
100585;6
124920;6
175945;6
175946;6
124880;6
180073;6
124895;6
180031;6
124898;6
124876;6
124944;6
124970;6
150652;6
100559;6
100592;6
100593;6
100578;6
100579;6
158692;6
174352;6
100533;6
131472;6
172932;6
180232;6
180329;6
126107;6
126078;6
126105;6
181198;6
180253;6
126050;6
126051;6
177505;6
126094;6
126108;6
126109;6
179798;6
126096;6
126099;6
126098;6
180889;6
126095;6
180167;6
180155;6
126034;6
126033;6
126035;6
126036;6
126061;6
126134;6
126038;6
126039;6
126037;6
126041;6
126042;6
126040;6
100594;6
100595;6
100553;6
115172;6
100605;6
100606;6
100607;6
100608;6
100609;6
100610;6
100603;6
150654;6
126059;6
181197;6
126075;6
138823;6
181098;6
181096;6
181097;6
124938;6
124937;6
124939;6
180057;6
180056;6
180055;6
180054;6
180053;6
180052;6
125007;6
125011;6
125041;6
181620;6
100630;6
100698;6
125044;6
176345;6
183086;6
138883;6
125048;6
125014;6
182296;6
181616;6
125028;6
160213;6
182128;6
124759;6
124720;6
100691;6
181342;6
100693;6
183195;6
138705;6
124708;6
124767;6
124766;6
124775;6
124752;6
124777;6
124678;6
124679;6
124733;6
124680;6
124735;6
168512;6
124683;6
170996;6
183149;6
138381;6
124741;6
124727;6
124693;6
124729;6
124697;6
180582;6
124732;6
124699;6
181693;6
179208;6
124700;6
178948;6
178935;6
126093;6
126133;6
175923;6
126060;6
100661;6
172612;6
177331;6
147532;6
124826;6
124825;6
124875;6
124859;6
124828;6
181640;6
181370;6
181371;6
178966;6
124832;6
183004;6
181863;6
181864;6
126086;6
126085;6
126089;6
126087;6
126088;6
126065;6
126066;6
126067;6
126072;6
126073;6
126090;6
180251;6
126091;6
126092;6
126130;6
126131;6
181111;6
135232;6
126124;6
126125;6
126123;6
126070;6
126064;6
126083;6
126084;6
126126;6
126127;6
126128;6
126032;6
176621;6
126062;6
169993;6
176523;6
151852;6
126121;6
152173;6
182999;6
183003;6
181333;6
124834;6
124860;6
124862;6
124800;6
124863;6
124865;6
165952;6
124809;6
124837;6
124836;6
124784;6
124838;6
181185;6
181184;6
126044;6
126102;6
126101;6
126100;6
159592;6
126045;6
182306;6
124801;6
124802;6
161172;6
124803;6
124786;6
124785;6
124866;6
124840;6
124867;6
124869;6
124868;6
124870;6
125192;6
124787;6
176347;6
117157;6
117191;6
117169;6
117185;6
124597;6
177511;6
124644;6
124628;6
124629;6
124550;6
124552;6
180788;6
183055;6
124579;6
163753;6
124025;6
160252;6
123993;6
101912;6
101914;6
101915;6
101916;6
166512;6
101918;6
101909;6
101910;6
181527;6
101887;6
101905;6
101873;6
101904;6
101907;6
181204;6
101908;6
101960;6
101958;6
101959;6
101961;6
130652;6
160412;6
105518;6
105438;6
181063;6
181646;6
181062;6
105506;6
179261;6
105500;6
180622;6
181822;6
181821;6
181820;6
101942;6
129748;6
181819;6
181818;6
181817;6
182019;6
181920;6
125472;6
105503;6
166972;6
105496;6
105497;6
180616;6
180617;6
179266;6
105489;6
105427;6
125452;6
101956;6
105443;6
179471;6
179258;6
105507;6
176199;6
105429;6
182130;6
156392;6
105430;6
105505;6
105488;6
181827;6
105432;6
105508;6
166912;6
129486;6
129483;6
129484;6
129478;6
129521;6
181452;6
129543;6
129559;6
101953;6
177359;6
101966;6
160512;6
165072;6
165093;6
180873;6
101877;6
101935;6
101925;6
101926;6
180634;6
129476;6
129477;6
175347;6
101680;6
101681;6
101929;6
144032;6
101930;6
101875;6
177281;6
105483;6
180069;6
181826;6
175418;6
181824;6
181825;6
179267;6
105479;6
179268;6
173772;6
125132;6
177282;6
105433;6
121532;6
162952;6
183425;6
181943;6
179179;6
105654;6
105635;6
180651;6
105655;6
179154;6
179160;6
107397;6
182262;6
177405;6
177406;6
101642;6
101651;6
101647;6
101638;6
105293;6
180369;6
105247;6
177394;6
134529;6
183385;6
105310;6
105345;6
105321;6
105322;6
105307;6
105365;6
107716;6
107684;6
107627;6
134454;6
149572;6
175313;6
159532;6
181374;6
181375;6
101723;6
101718;6
101719;6
101720;6
101721;6
101722;6
101714;6
101715;6
182077;6
182078;6
101668;6
101710;6
101711;6
181796;6
101706;6
101707;6
182157;6
182156;6
101639;6
176254;6
101725;6
101648;6
129566;6
150852;6
129473;6
129485;6
129575;6
129576;6
182079;6
120633;6
101708;6
101709;6
181529;6
107681;6
107682;6
179183;6
180107;6
107676;6
181285;6
168352;6
107689;6
107688;6
179185;6
179187;6
107683;6
107680;6
176246;6
129545;6
129556;6
107748;6
105525;6
105526;6
101573;6
107856;6
107247;6
144972;6
154812;6
133957;6
107325;6
175394;6
107378;6
180867;6
181748;6
145892;6
180060;6
142274;6
142279;6
142250;6
183292;6
146752;6
129564;6
165572;6
142369;6
142321;6
179310;6
183419;6
142463;6
148053;6
139093;6
182167;6
182120;6
141663;6
141748;6
141662;6
141797;6
141774;6
101616;6
101624;6
129634;6
129636;6
141805;6
171372;6
141762;6
141761;6
141768;6
141795;6
141819;6
141929;6
141984;6
141998;6
142564;6
142562;6
142527;6
140272;6
129600;6
129673;6
142588;6
181945;6
142599;6
146332;6
142601;6
142604;6
142605;6
142606;6
142603;6
142608;6
142613;6
146372;6
102359;6
142631;6
142615;6
183344;6
183345;6
142634;6
142635;6
142632;6
142633;6
142617;6
142618;6
142639;6
142640;6
142641;6
142636;6
176902;6
142620;6
129591;6
129619;6
102368;6
102369;6
102371;6
102370;6
142665;6
142666;6
181119;6
142669;6
183029;6
146432;6
142682;6
142675;6
142673;6
129589;6
179199;6
129665;6
150552;6
129638;6
129612;6
129646;6
182131;6
182132;6
182887;6
129613;6
129614;6
129644;6
129642;6
129643;6
129611;6
180984;6
182928;6
142077;6
181888;6
183025;6
141464;6
141468;6
141472;6
141509;6
141482;6
164332;6
141426;6
141396;6
149932;6
141441;6
182872;6
182873;6
182880;6
182879;6
182878;6
182877;6
182899;6
182902;6
117163;6
141266;6
141342;6
141343;6
141274;6
180296;6
141254;6
141253;6
117208;6
117202;6
117178;6
117179;6
182903;6
182927;6
141314;6
141313;6
141174;6
141234;6
180632;6
141236;6
141238;6
141209;6
141569;6
129317;6
182926;6
102163;6
102210;6
143752;6
102242;6
102243;6
102245;6
102244;6
183089;6
143714;6
182932;6
162172;6
116665;6
116784;6
116719;6
164592;6
102226;6
102227;6
102162;6
102222;6
129293;6
179816;6
116753;6
116817;6
183274;6
116806;6
116781;6
183229;6
116852;6
118084;6
118105;6
