GID;Repite
101333;1
101336;1
101337;1
101384;1
101386;1
101387;1
101388;1
101390;1
101391;1
101393;1
101394;1
101395;1
101396;1
101398;1
101400;1
101401;1
101406;1
101435;1
107506;1
107556;1
107557;1
115744;1
115745;1
115750;1
115753;1
115754;1
115759;1
115761;1
115763;1
115766;1
115767;1
115768;1
115770;1
115771;1
115774;1
115775;1
115779;1
115785;1
124556;1
124568;1
124579;1
134010;1
134044;1
134045;1
134074;1
136912;1
139184;1
139185;1
139187;1
139188;1
139211;1
139212;1
139254;1
139271;1
141196;1
141375;1
141444;1
141445;1
141448;1
147575;1
150072;1
150877;1
156092;1
163552;1
175099;1
175295;1
175390;1
175393;1
175489;1
176673;1
179007;1
179231;1
179508;1
179626;1
179627;1
179662;1
179663;1
179849;1
179850;1
179851;1
179852;1
179853;1
179854;1
179855;1
181213;1
181214;1
181222;1
181223;1
181360;1
181361;1
181457;1
181536;1
181838;1
182117;1
182316;1
182317;1
182318;1
182920;1
182989;1
183177;1
183569;1
183570;1
183571;1
183572;1
183573;1
183574;1
183575;1
