GID;RANGO UNAP
100240;3
100242;3
100243;3
100288;3
100290;3
100291;3
100292;3
100293;3
100295;3
100296;3
100299;3
100300;3
100302;3
100303;3
100304;3
100305;3
100306;3
100307;3
100308;3
100309;3
100310;3
100311;3
100332;5
100335;5
100336;5
100337;5
100338;5
100339;5
100340;5
100341;5
100342;5
100343;5
100344;5
100345;5
100347;2
100348;2
100349;2
100350;2
100351;2
100353;5
100354;5
100355;5
100356;5
100357;5
100359;5
100361;5
100362;5
100363;5
100364;5
100366;5
100368;5
100369;5
100370;5
100373;5
100375;5
100376;5
100377;5
100378;5
100379;5
100383;5
100386;5
100388;5
100389;5
100392;5
100393;5
100394;5
100395;5
100396;5
100397;5
100398;5
100400;5
100402;5
100407;2
100410;5
100411;5
100412;5
100413;5
100415;5
100417;2
100418;5
100419;5
100421;2
100424;2
100426;2
100427;2
100428;2
100429;2
100430;2
100431;1
100433;1
100434;1
100435;1
100436;1
100437;1
100438;1
100439;1
100442;5
100443;1
100444;1
100449;1
100450;1
100451;5
100452;1
100453;5
100454;1
100455;1
100457;1
100458;1
100459;1
100460;1
100461;1
100462;1
100463;1
100464;1
100465;1
100466;1
100467;1
100468;1
100469;1
100471;1
100472;1
100473;1
100474;1
100475;1
100476;5
100477;1
100479;1
100480;1
100481;1
100482;1
100483;1
100484;1
100485;5
100486;1
100487;5
100488;1
100489;1
100491;1
100492;1
100493;1
100494;1
100496;1
100498;1
100503;1
100504;3
100505;1
100506;1
100507;1
100508;1
100509;1
100510;1
100511;1
100512;1
100513;1
100514;1
100533;1
100535;2
100536;5
100537;5
100538;2
100540;1
100541;1
100543;1
100544;1
100546;1
100551;1
100552;1
100553;1
100556;1
100557;5
100558;5
100559;2
100560;2
100561;1
100562;1
100563;1
100564;1
100565;5
100566;5
100567;5
100569;1
100570;1
100571;1
100572;1
100573;1
100574;1
100575;1
100576;1
100577;1
100578;1
100579;1
100581;1
100582;1
100584;1
100585;1
100586;1
100587;1
100588;1
100591;1
100592;2
100593;2
100594;2
100595;2
100596;2
100597;2
100599;5
100601;5
100603;1
100605;1
100606;1
100607;1
100608;1
100609;1
100610;1
100611;5
100615;1
100616;1
100617;1
100618;1
100619;1
100622;1
100623;1
100624;1
100625;1
100629;1
100630;5
100631;1
100633;1
100634;1
100635;1
100636;1
100637;1
100638;1
100639;5
100641;1
100642;5
100643;1
100645;1
100646;1
100647;1
100650;1
100651;1
100654;1
100656;1
100661;1
100663;1
100664;1
100665;1
100668;1
100670;1
100676;1
100679;1
100682;1
100683;5
100684;1
100685;1
100687;1
100690;1
100691;1
