GID;Acumulacion_general
179539;6
176322;6
180847;6
116769;6
166453;6
116775;6
137832;6
183229;6
116781;6
129104;6
129170;6
129191;6
129227;6
176650;6
180856;6
183168;6
116832;6
100469;6
114433;6
183366;6
114246;6
177479;6
114315;6
114329;6
114461;6
129380;6
141343;6
141314;6
141313;6
183744;6
183743;6
183828;6
165634;6
141342;6
114326;6
114527;6
114511;6
141533;6
141469;6
141525;6
142591;6
142588;6
141826;6
141929;6
142517;6
141802;6
141671;6
141749;6
182026;6
141800;6
141791;6
114470;6
183618;6
180348;6
102214;6
180859;6
181717;6
141661;6
180604;6
115258;6
102198;6
135012;6
102261;6
106892;6
102223;6
102205;6
115637;6
180725;6
124091;6
124149;6
124220;6
124264;6
141698;6
168492;6
141656;6
102161;6
142251;6
149892;6
142361;6
183419;6
183377;6
183440;6
182286;6
181886;6
124281;6
142249;6
129423;6
142270;6
145852;6
176330;6
181407;6
181403;6
183262;6
164878;6
180665;6
175401;6
140272;6
183073;6
179610;6
183154;6
101518;6
183293;6
182263;6
108153;6
180028;6
101616;6
182855;6
183748;6
133994;6
107588;6
183472;6
181234;6
179129;6
108372;6
181774;6
183329;6
183480;6
107196;6
100571;6
183294;6
183575;6
138649;6
180869;6
138647;6
138714;6
176377;6
105347;6
182332;6
138363;6
138813;6
138864;6
182079;6
177391;6
181986;6
182007;6
154352;6
138650;6
138778;6
181796;6
183296;6
101661;6
101662;6
105433;6
183867;6
105673;6
105659;6
144552;6
101667;6
101935;6
105247;6
183394;6
124536;6
180745;6
124512;6
176126;6
179595;6
183892;6
105489;6
124787;6
181486;6
181637;6
124594;6
124642;6
124534;6
124809;6
101916;6
101918;6
183812;6
181399;6
183033;6
183032;6
181551;6
179117;6
129606;6
124871;6
179317;6
177024;6
124735;6
129662;6
176789;6
124730;6
124732;6
172612;6
177331;6
177332;6
176736;6
124995;6
125064;6
125026;6
156034;6
183826;6
124468;6
129517;6
124961;6
124876;6
124936;6
180565;6
181292;6
124466;6
181355;6
175347;6
124415;6
183150;6
124473;6
124472;6
124471;6
124475;6
124476;6
157052;6
100630;6
125272;6
166812;6
124301;6
124419;6
124435;6
124394;6
124443;6
124442;6
124396;6
180583;6
114370;6
114345;6
114361;6
100491;6
183897;5
180610;5
118087;5
169392;5
176321;5
116830;5
179964;5
179959;5
129207;5
179847;5
116589;5
116590;5
116665;5
129382;5
129438;5
129409;5
180296;5
141400;5
180911;5
141368;5
141369;5
175912;5
141431;5
141317;5
141320;5
172174;5
114478;5
183824;5
114451;5
183275;5
180561;5
115794;5
181360;5
115762;5
129522;5
129529;5
129526;5
129528;5
129523;5
129531;5
143192;5
129435;5
142674;5
181945;5
142635;5
181119;5
181317;5
142685;5
146092;5
180150;5
126093;5
176947;5
166873;5
142548;5
146072;5
142547;5
181220;5
179195;5
115681;5
183084;5
124117;5
124199;5
183180;5
124231;5
124201;5
115759;5
175393;5
183619;5
142279;5
180060;5
182953;5
180811;5
133964;5
180192;5
183643;5
180193;5
107589;5
171115;5
105538;5
105622;5
105623;5
106978;5
183809;5
138336;5
181694;5
115032;5
138396;5
156312;5
107590;5
183085;5
138350;5
138349;5
138398;5
138395;5
181447;5
183203;5
183241;5
181451;5
181445;5
181444;5
181420;5
172132;5
183204;5
183205;5
181446;5
183319;5
183320;5
183254;5
183256;5
183255;5
183252;5
183253;5
183304;5
183202;5
183321;5
183240;5
124680;5
177401;5
173812;5
107395;5
182201;5
101940;5
101332;5
101872;5
124597;5
101888;5
165952;5
129674;5
169552;5
118102;5
118106;4
122772;4
124427;4
124333;4
183368;4
118083;4
118112;4
118111;4
118068;4
118114;4
118115;4
118084;4
118043;4
118085;4
183526;4
183525;4
129314;4
180323;4
118093;4
118092;4
152232;4
181144;4
118060;4
118040;4
118080;4
118081;4
118061;4
118041;4
118062;4
177372;4
118036;4
118037;4
183821;4
183034;4
183120;4
183035;4
124823;4
124824;4
183835;4
132492;4
117202;4
117178;4
117179;4
129612;4
129644;4
129293;4
129301;4
129313;4
124828;4
181640;4
181370;4
181371;4
178965;4
178964;4
178963;4
178966;4
124832;4
129317;4
129360;4
131552;4
129315;4
124808;4
124807;4
181400;4
100537;4
181864;4
182999;4
183003;4
124837;4
124836;4
124784;4
124838;4
124801;4
124802;4
161172;4
124803;4
124826;4
124825;4
124875;4
124859;4
181863;4
183371;4
183372;4
183308;4
183438;4
126095;4
180167;4
180155;4
172932;4
181184;4
181185;4
180232;4
180329;4
126107;4
126078;4
100532;4
179938;4
124498;4
124500;4
124501;4
124502;4
124503;4
124786;4
124785;4
124840;4
124867;4
124869;4
124868;4
124870;4
125192;4
183611;4
183004;4
100574;4
100575;4
124585;4
180744;4
180743;4
180742;4
165072;4
183052;4
183056;4
183051;4
183050;4
183055;4
124537;4
124540;4
124539;4
124541;4
177455;4
124520;4
124538;4
100560;4
100538;4
100559;4
124379;4
124380;4
124382;4
124351;4
124304;4
176357;4
179263;4
124317;4
124323;4
124325;4
124778;4
124780;4
124856;4
176505;4
124793;4
124789;4
124788;4
179136;4
179137;4
179138;4
176253;4
129318;4
100605;4
105679;4
101926;4
177408;4
177505;4
126094;4
126108;4
126109;4
179798;4
126096;4
126099;4
126098;4
180889;4
124347;4
183433;4
183434;4
177456;4
153252;4
180032;4
124854;4
183010;4
180327;4
105266;4
172812;4
177392;4
177393;4
177458;4
177459;4
105253;4
180607;4
181497;4
105279;4
105280;4
126042;4
181198;4
126051;4
100536;4
100585;4
100586;4
101590;4
180227;4
101585;4
101592;4
101582;4
169972;4
101642;4
101651;4
177463;4
177465;4
105281;4
105249;4
175312;4
101575;4
105268;4
105269;4
100562;4
100563;4
100564;4
100594;4
100595;4
100596;4
100597;4
100567;4
150652;4
100599;4
100601;4
100558;4
100600;4
100569;4
100570;4
100573;4
124319;4
124330;4
179031;4
101583;4
101584;4
101577;4
101578;4
101579;4
101581;4
101515;4
101516;4
101576;4
101517;4
124842;4
182142;4
128193;4
125044;4
183007;4
125038;4
124991;4
125048;4
125014;4
180332;4
182296;4
183823;4
100593;4
158692;4
174352;4
131472;4
101601;4
101602;4
101603;4
101604;4
131272;4
145732;4
142187;4
132752;4
100576;4
100577;4
100578;4
100579;4
100535;4
100592;4
177333;4
177335;4
100892;4
100584;4
142173;4
142252;4
161252;4
142198;4
180766;4
142174;4
101621;4
101624;4
101605;4
101606;4
101607;4
101523;4
105244;4
105245;4
142254;4
150292;4
142188;4
142199;4
180421;4
124376;4
124375;4
183435;4
183448;4
100557;4
100565;4
100566;4
146812;4
132512;4
100581;4
100582;4
142255;4
161274;4
175402;4
142203;4
142189;4
142204;4
101520;4
101524;4
183292;4
129289;4
152474;4
174952;4
101612;4
181745;4
181738;4
181737;4
183916;4
142218;4
180189;4
183557;4
176723;4
182988;4
182987;4
182986;4
183558;4
181339;4
177369;4
150293;4
142201;4
175400;4
142175;4
175399;4
182109;4
142265;4
160652;4
142219;4
142205;4
142206;4
142224;4
142223;4
181748;4
145772;4
178967;4
181749;4
142226;4
142215;4
142216;4
175405;4
161032;4
142180;4
142179;4
142207;4
142256;4
142257;4
142258;4
181401;4
181402;4
181406;4
181404;4
181405;4
142269;4
142268;4
176724;4
182107;4
142247;4
145932;4
142246;4
183621;4
142250;4
142195;4
142194;4
183026;4
180063;4
181753;4
181752;4
181751;4
181750;4
142238;4
145912;4
142209;4
124337;4
124338;4
124349;4
124340;4
124341;4
183473;4
124302;4
176358;4
115743;4
115741;4
142262;4
142273;4
183622;4
142277;4
142278;4
142276;4
141719;4
182907;4
142248;4
180058;4
142181;4
141712;4
141674;4
141673;4
141672;4
183620;4
142178;4
124286;4
182267;4
124288;4
124314;4
124289;4
180367;4
141701;4
141728;4
149632;4
141653;4
141652;4
180365;4
141675;4
141654;4
141715;4
141714;4
179340;4
141658;4
141657;4
141717;4
141720;4
141730;4
141735;4
181597;4
141718;4
141697;4
141659;4
141696;4
141695;4
141660;4
179931;4
176319;4
141727;4
180355;4
141725;4
166792;4
141724;4
124429;4
124430;4
124431;4
124432;4
124482;4
181098;4
124934;4
125041;4
124463;4
124464;4
183367;4
124292;4
124354;4
181291;4
183436;4
141678;4
181695;4
181696;4
182167;4
182120;4
182121;4
141690;4
124099;4
181771;4
141708;4
141707;4
141705;4
141681;4
145972;4
181363;4
145992;4
181244;4
115737;4
115739;4
174072;4
115742;4
141694;4
182024;4
141745;4
141747;4
141663;4
141748;4
141662;4
181654;4
141738;4
102192;4
141740;4
141739;4
141777;4
141778;4
141776;4
141792;4
141692;4
141691;4
175358;4
182279;4
115748;4
115763;4
115775;4
115779;4
115780;4
115786;4
180724;4
147792;4
141794;4
141849;4
141795;4
141803;4
183693;4
141818;4
141820;4
141819;4
141851;4
141664;4
141770;4
141773;4
141810;4
141788;4
141813;4
141790;4
154994;4
154995;4
177262;4
141822;4
141852;4
141823;4
141824;4
141825;4
141827;4
141828;4
141793;4
141801;4
141814;4
141848;4
141816;4
141850;4
124383;4
124355;4
168592;4
124385;4
124386;4
124357;4
183811;4
126105;4
167292;4
124462;4
124465;4
124404;4
181806;4
180204;4
142531;4
154993;4
142581;4
180783;4
147032;4
141460;4
141517;4
141493;4
142542;4
142576;4
142509;4
142544;4
142577;4
142574;4
142496;4
142498;4
142578;4
181078;4
141459;4
102087;4
102092;4
102086;4
141519;4
141466;4
176494;4
141496;4
141463;4
181194;4
181195;4
141495;4
183599;4
141521;4
142579;4
142580;4
141522;4
141465;4
141523;4
141468;4
141488;4
141489;4
102045;4
160072;4
103273;4
172732;4
172712;4
173932;4
183563;4
131454;4
141494;4
141462;4
102080;4
131332;4
141491;4
141470;4
141471;4
141524;4
141526;4
141527;4
141472;4
175463;4
175464;4
175465;4
175466;4
141500;4
141501;4
141473;4
141529;4
141528;4
179948;4
140032;4
102042;4
172753;4
102067;4
102068;4
172752;4
102081;4
116512;4
102083;4
102084;4
102085;4
102078;4
102079;4
102113;4
102138;4
131433;4
131352;4
177148;4
122312;4
102041;4
102069;4
102062;4
150532;4
102119;4
129912;4
181849;4
183153;4
141492;4
141474;4
141480;4
141479;4
141478;4
141531;4
141530;4
141532;4
141503;4
141513;4
141514;4
141475;4
141515;4
141476;4
181151;4
181149;4
181150;4
102112;4
141453;4
141450;4
176136;4
102106;4
102107;4
141502;4
141505;4
141504;4
141534;4
141506;4
141535;4
141508;4
175357;4
141507;4
141477;4
141538;4
141457;4
141486;4
141546;4
141481;4
141485;4
102118;4
102412;4
102433;4
180926;4
180925;4
102032;4
102033;4
158032;4
141539;4
141452;4
141454;4
180203;4
180709;4
180839;4
124456;4
124416;4
183680;4
176325;4
124451;4
124452;4
124459;4
141545;4
141541;4
141544;4
141543;4
181759;4
141458;4
100679;4
181365;4
141547;4
141552;4
179719;4
141509;4
141512;4
115715;4
115699;4
180662;4
180663;4
141511;4
141484;4
171412;4
141482;4
147052;4
141222;4
124478;4
124460;4
124461;4
179036;4
124469;4
124445;4
124446;4
125092;4
124411;4
124409;4
183822;4
124400;4
179500;4
126034;4
100631;4
141572;4
153152;4
141573;4
183182;4
141571;4
141613;4
180490;4
141157;4
141154;4
183337;4
141156;4
141160;4
141204;4
141158;4
141220;4
141223;4
141583;4
141587;4
141588;4
141578;4
141574;4
141576;4
174452;4
183512;4
182230;4
182229;4
141627;4
141555;4
141602;4
141559;4
179429;4
183761;4
141592;4
141589;4
141633;4
141634;4
141635;4
141637;4
141593;4
141639;4
141612;4
141615;4
141614;4
141616;4
141611;4
141610;4
161012;4
181186;4
116801;4
116776;4
158953;4
141575;4
100468;4
114381;4
114382;4
114356;4
114368;4
114367;4
114373;4
114336;4
141617;4
