GID;RANGO UNAP
100242;1
100243;1
100288;1
100290;1
100293;1
100295;1
100296;5
100299;1
100300;1
100302;1
100303;1
100304;1
100305;1
100306;1
100343;5
100344;5
100353;5
100354;5
100395;5
100396;5
100397;5
100417;5
100421;5
100424;5
100426;5
100427;5
100428;5
100431;1
100433;1
100434;1
100435;1
100436;1
100437;1
100438;1
100439;1
100440;1
100441;1
100442;1
100443;1
100444;1
100446;1
100449;1
100450;1
100451;1
100452;1
100453;1
100454;1
100455;1
100457;1
100458;1
100459;1
100460;1
100461;1
100462;1
100463;1
100464;1
100465;1
100466;1
100467;5
100468;1
100469;1
100470;5
100471;1
100472;1
100473;1
100474;1
100475;1
100476;1
100477;5
100478;1
100479;1
100480;1
100481;1
100482;1
100483;1
100484;1
100485;1
100486;1
100487;1
100488;1
100489;1
100491;1
100492;1
100493;1
100494;5
100496;1
100498;5
100499;1
100500;1
100501;1
100503;1
100504;1
100505;1
100506;1
100507;1
100508;1
100509;1
100510;1
100511;5
100512;1
100513;1
100514;1
100515;1
100532;2
100533;2
100535;2
100536;2
100537;2
100538;2
100540;5
100541;5
100543;5
100544;5
100546;5
100551;2
100552;2
100553;2
100556;5
100557;2
100558;2
100559;2
100560;2
100561;2
100562;2
100563;2
100564;2
100565;2
100566;2
100567;2
100569;2
100570;2
100571;2
100572;5
100573;2
100574;2
100575;2
100576;2
100577;2
100578;2
100579;2
100581;5
100582;5
100584;2
100585;2
100586;2
100587;5
100588;5
100591;2
100592;2
100593;2
100594;2
100595;2
100596;2
100597;2
100599;2
100600;2
100601;2
100603;5
100605;5
100606;5
100607;5
100608;5
100609;5
100610;5
100611;2
100615;5
100616;5
100617;5
100618;5
100619;5
100621;5
100622;5
100623;5
100624;5
100625;5
100629;5
100630;5
100631;5
100633;5
100634;5
100635;5
100636;5
100637;5
100638;5
100639;5
100640;5
100641;5
100642;5
100643;5
100645;5
100646;5
100647;5
100650;5
100651;5
100654;5
100656;5
100661;5
100663;5
100664;5
100665;5
100668;5
100670;5
100676;2
100679;2
100682;2
100683;2
100684;2
100685;2
100687;5
100689;5
100690;5
100691;5
100693;5
100695;5
100697;5
100698;5
100699;5
100700;2
100701;5
100702;5
100705;2
100707;2
100709;2
100711;2
100712;2
100720;5
100725;2
100727;2
100728;2
100730;2
100731;2
100732;2
100741;2
100747;2
100749;2
100755;2
100756;5
100758;5
100759;5
100760;5
100762;5
100764;5
100765;5
100766;5
100767;5
100768;5
100770;5
100772;5
100773;5
100774;5
100775;5
100776;5
100777;1
100778;5
100779;5
100780;5
100787;5
100790;5
100791;2
100794;2
100796;5
100804;2
100805;2
100806;2
100807;2
100809;2
100892;2
100933;5
101332;2
101333;2
101334;1
101336;1
101337;1
101339;1
101350;1
101355;1
101356;1
101358;1
101359;1
101364;1
101366;1
101367;1
101372;1
101377;1
101378;1
101383;1
101384;2
101386;2
101387;2
101388;2
101390;2
101391;2
101393;2
101394;2
101395;2
101396;2
101398;2
101400;5
101401;2
101402;2
101404;5
101406;1
101409;1
101410;1
101416;1
101418;1
101419;1
101420;1
101421;1
101423;1
101424;1
101425;1
101427;1
101428;1
101431;1
101432;1
101434;1
101435;2
101512;5
101514;5
101515;5
101516;5
101517;5
101518;5
101520;5
101523;5
101524;5
101525;5
101527;5
101528;5
101529;5
101530;5
101532;5
101534;5
101536;5
101537;5
101538;5
101552;5
101553;5
101554;5
101555;5
101557;5
101561;5
101562;5
101563;5
101564;5
101565;5
101566;5
101567;5
101569;5
101570;5
101572;5
101573;5
101575;5
101576;5
101577;5
101578;5
101579;5
101581;5
101582;5
101583;5
101584;5
101585;5
101590;5
101591;5
101592;5
101596;5
101601;5
101602;5
101603;5
101604;5
101605;5
101606;5
101607;5
101612;5
101614;5
101616;5
101618;5
101620;5
101621;5
101624;5
101629;5
101630;5
101632;2
101634;2
101635;2
101638;5
101639;5
101641;5
101642;5
101643;5
101645;2
101646;2
101647;5
101648;5
101649;5
101651;5
101652;5
101653;5
101656;2
101657;2
101658;2
101659;2
101660;2
101661;2
101662;2
101663;2
101664;2
101665;2
101666;2
101667;2
101668;2
101672;2
101675;2
101676;2
101678;5
101680;2
101681;2
101682;5
101688;2
101691;2
101692;2
101696;2
101697;2
101706;5
101707;5
101710;5
101711;5
101714;5
101715;5
101718;5
101719;5
101721;5
101722;5
101723;5
101725;5
101872;5
101873;5
101875;5
101877;5
101879;1
101880;1
101881;1
101882;1
101884;1
101885;2
101886;2
101887;2
101888;5
101891;2
101892;2
101893;5
101894;2
101895;2
101897;2
101898;2
101903;2
101904;2
101905;2
101907;2
101908;2
101909;5
101910;5
101912;5
101913;5
101914;5
101915;5
101916;5
101918;5
101920;2
101921;2
101922;2
101925;5
101926;5
101928;1
101929;5
101930;5
101935;5
101936;1
101937;1
101939;1
101940;5
101941;5
101942;1
101944;1
101945;1
101947;1
101948;1
101949;1
101950;1
101953;1
101954;2
101956;1
101957;2
101958;2
101959;2
101960;2
101961;2
101964;2
101965;2
101966;1
101967;2
101968;2
101972;5
101973;2
101974;5
102032;2
102033;2
102035;2
102036;5
102037;5
102038;5
102041;2
102042;5
102045;5
102046;5
102048;5
102051;2
102052;5
102053;5
102054;5
102055;5
102056;5
102057;5
102062;5
102067;5
102068;5
102069;2
102078;5
102079;5
102080;5
102081;5
102083;5
102084;5
102085;5
102086;5
102087;5
102092;5
102095;5
102096;5
102097;5
102098;5
102100;5
102101;5
102102;5
102103;5
102106;2
102107;2
102112;2
102113;2
102118;2
102119;2
102131;2
102133;2
102134;2
102136;2
102137;5
102138;2
102152;2
102154;5
102157;1
102158;1
102161;5
102162;2
102163;2
102165;1
102169;1
102172;1
102175;1
102179;5
102181;1
102182;1
102183;1
102192;5
102193;2
102194;2
102195;2
102197;5
102198;5
102205;5
102210;2
102211;1
102212;2
102213;2
102214;5
102215;2
102222;2
102223;5
102225;2
102226;2
102227;2
102229;2
102230;2
102231;2
102234;2
102236;2
102238;2
102240;2
102242;2
102243;2
102244;2
102245;2
102247;2
102248;2
102254;2
102255;2
102256;1
102260;1
102261;5
102263;1
102277;1
102288;1
102289;1
102290;1
102316;1
102354;1
102355;1
102358;1
102359;5
102360;1
102361;1
102362;1
102364;1
102365;1
102366;1
102367;1
102368;1
102369;1
102370;1
102371;5
102374;1
102375;1
102378;5
102380;1
102381;1
102412;5
102413;2
102433;2
103273;5
104332;5
104352;1
104353;5
104356;1
104358;1
104361;1
104362;1
104363;1
104364;1
104366;1
104368;1
104369;1
104373;5
104374;5
104375;5
104376;1
104380;5
104383;5
104384;5
104385;5
104392;1
104393;1
104394;1
104395;5
104406;1
104408;5
104410;1
104417;5
104418;5
104419;5
104420;5
104422;5
104425;5
104428;5
104435;1
104436;1
104852;1
105114;1
105195;5
105196;5
105197;5
105212;5
105230;5
105231;5
105232;5
105236;5
105237;5
105238;5
105241;5
105242;5
105243;5
105244;5
105245;5
105247;2
105249;2
105253;2
105254;2
105260;2
105266;2
105268;2
105269;2
105270;2
105271;2
105272;2
105274;2
105279;2
105280;2
105281;2
105282;2
105292;2
105293;2
105294;2
105302;2
105303;2
105304;2
105307;5
105308;1
105310;5
105321;1
105322;1
105325;1
105329;1
105330;1
105332;2
105333;2
105336;2
105337;2
105338;2
105340;2
105341;2
105345;5
105347;2
105348;1
105365;5
105367;1
105372;1
105373;1
105375;2
105378;1
105379;1
105381;5
105384;2
105388;2
105389;2
105390;2
105391;2
105401;2
105402;2
105403;2
105405;2
105407;2
105409;1
105410;2
105413;5
105416;1
105417;1
105419;5
105420;5
105427;2
105429;2
105430;2
105432;2
105433;5
105438;2
105442;2
105443;2
105446;1
105450;1
105451;1
105453;1
105459;5
105462;5
105464;5
105479;5
105488;2
105489;2
105496;2
105497;2
105500;2
105503;2
105505;2
105506;2
105507;2
105508;5
105509;2
105518;2
105520;5
105521;5
105523;5
105524;1
105525;1
105526;1
105528;5
105529;5
105530;1
105531;1
105533;1
105534;1
105537;1
105538;5
105541;1
105543;1
105546;1
105547;1
105549;1
105553;1
105566;5
105602;1
105603;1
105604;1
105605;1
105606;1
105607;1
105609;1
105610;1
105612;1
105613;1
105614;1
105615;1
105616;5
105618;5
105619;1
105620;1
105622;1
105623;1
105631;5
105632;5
105635;5
105636;5
105637;5
105639;5
105641;5
105654;5
105655;5
105656;5
105658;5
105659;5
105663;5
105673;5
105678;5
105679;5
105681;5
105683;5
105685;5
105686;5
105688;5
105689;5
105691;5
105693;5
105932;2
105933;2
106892;1
106912;3
106914;3
106915;3
106916;3
106917;3
106919;3
106920;2
106921;2
106923;3
106924;3
106925;2
106926;2
106929;2
106931;2
106933;3
106934;3
106935;3
106936;3
106938;3
106939;2
106942;3
106945;3
106946;3
106948;3
106949;3
106950;3
106951;3
106952;3
106953;3
106954;3
106955;3
106956;3
106957;3
106958;3
106959;3
106966;3
106967;3
106969;3
106970;3
106971;3
106973;3
106974;3
106975;3
106976;3
106977;3
106978;3
106979;3
106982;3
106983;3
106988;3
106991;2
106992;2
106994;2
106995;2
106997;2
106998;2
107000;2
107001;2
107005;2
107006;2
107007;3
107008;2
107009;2
107011;3
107018;3
107020;3
107021;3
107023;3
107025;3
107026;3
107027;3
107028;3
107029;3
107030;3
107031;2
107032;2
107033;2
107034;3
107035;3
107036;3
107037;3
107040;3
107044;3
107045;3
107046;3
107047;3
107048;3
107049;3
107050;3
107051;3
107052;3
107056;3
107057;3
107059;3
107060;3
107066;3
107067;3
107068;3
107069;3
107070;3
107071;3
107072;3
107073;3
107074;3
107075;3
107076;3
107079;3
107080;3
107081;3
107082;3
107083;3
107084;3
107086;3
107087;3
107088;3
107090;3
107091;3
107092;2
107093;2
107094;2
107097;3
107098;3
107099;3
107100;3
107103;3
107104;3
107105;3
107108;3
107109;3
107110;3
107111;3
107112;3
107115;3
107116;3
107118;2
107120;1
107121;1
107122;2
107123;2
107126;2
107127;2
107128;1
107129;1
107130;1
107131;1
107132;1
107134;2
107136;1
107137;1
107138;1
107139;1
107140;1
107141;1
107145;2
107146;2
107147;2
107148;2
107149;2
107151;2
107152;2
107153;2
107154;2
107155;2
107156;2
107158;2
107159;2
107161;2
107170;2
107171;2
107172;2
107173;1
107174;1
107176;2
107177;2
107178;2
107179;2
107181;2
107182;1
107183;1
107184;1
107186;2
107187;2
107189;2
107190;2
107191;1
107192;2
107193;2
107194;2
107195;1
107196;1
107197;1
107198;1
107199;1
107201;1
107292;2
107293;2
107299;2
107300;2
107301;3
107302;3
107303;3
107304;3
107305;3
107306;3
107307;2
107308;5
107309;2
107310;2
107311;2
107312;2
107313;2
107314;2
107315;2
107316;2
107319;2
107323;2
107324;2
107325;2
107326;2
107328;2
107330;2
107333;5
107334;2
107335;2
107357;2
107359;2
107362;3
107363;3
107365;5
107366;3
107367;3
107368;3
107369;3
107370;5
107374;3
107375;3
107376;3
107377;3
107379;3
107380;3
107381;3
107389;2
107392;1
107395;1
107397;1
107398;2
107400;1
107404;1
107405;1
107406;1
107408;1
107410;1
107413;1
107415;1
107416;1
107419;2
107421;1
107422;1
107425;2
107426;2
107427;1
107429;1
107430;1
107431;1
107434;1
107437;1
107439;1
107440;1
107441;1
107442;1
107443;1
107444;1
107446;1
107447;1
107454;1
107455;1
107459;1
107461;1
107463;1
107464;1
107467;1
107468;1
107471;1
107472;1
107473;1
107474;1
107479;2
107482;2
107483;2
107484;2
107485;1
107486;1
107487;1
107488;1
107489;1
107491;1
107492;1
107493;1
107494;1
107496;1
107497;1
107498;1
107499;1
107500;1
107501;1
107504;1
107505;1
107506;5
107507;5
107508;5
107511;5
107513;1
107514;5
107516;5
107517;5
107518;5
107520;3
107521;5
107523;1
107524;1
107526;5
107528;1
107530;1
107531;1
107532;1
107533;1
107534;1
107538;5
107540;1
107541;1
107542;1
107543;1
107544;1
107549;1
107552;5
107553;5
107554;5
107555;5
107556;5
107557;5
107561;5
107562;5
107563;5
107564;5
107565;5
107567;5
107568;2
107570;5
107571;5
107572;3
107573;3
107574;5
107575;5
107576;5
107579;5
107580;5
107586;5
107587;5
107588;5
107589;5
107590;5
107591;5
107592;5
107599;5
107600;5
107601;5
107607;1
107611;5
107616;5
107621;5
107623;5
107627;2
107628;2
107632;5
107636;5
107640;5
107641;5
107642;5
107643;5
107649;5
107650;5
107653;5
107654;5
107657;5
107660;5
107662;5
107663;5
107664;5
107665;5
107671;2
107676;2
107678;5
107680;2
107681;2
107682;2
107683;2
107684;2
107689;2
107690;2
107691;5
107693;5
107697;5
107698;5
107699;5
107700;5
107703;5
107708;5
107709;5
107711;5
107712;5
107713;5
107715;5
107716;5
107717;5
107718;5
107719;5
107722;2
107723;2
107731;2
107734;2
107735;2
107736;2
107740;1
107741;1
107742;1
107743;1
107748;1
107749;2
107751;2
107754;1
107759;1
107760;1
107761;1
107762;1
107764;1
107765;1
107773;2
107782;2
107784;2
107786;2
107787;2
107788;2
107789;2
107790;2
107791;2
107792;2
107793;2
107795;2
107796;2
107797;1
107801;1
107802;1
107803;1
107804;1
107805;1
107806;1
107807;1
107808;1
107809;1
107815;1
107818;1
107820;2
107821;2
107822;2
107824;1
107827;2
107828;2
107829;2
107831;2
107837;2
107838;2
107839;2
107840;2
107841;2
107842;2
107843;2
107844;2
107845;2
107847;2
107848;2
107849;2
107852;2
107856;2
107858;2
107859;2
107861;2
107862;2
107864;2
107865;2
107866;2
107867;2
107868;2
107869;2
107870;2
107871;2
107872;2
107873;2
107876;5
107877;2
107878;2
107879;2
107880;2
107881;2
107883;2
107884;2
107885;2
107890;2
107891;2
107893;2
107894;2
107895;2
107896;2
107897;2
107898;2
107899;2
107900;2
107901;2
107903;2
107904;2
107906;2
107908;2
107910;2
107911;2
107917;2
107918;2
107920;3
107921;3
107922;3
107923;3
107931;1
107952;2
107953;2
108132;3
108153;3
108172;3
108212;3
108372;5
108872;1
109012;1
109013;1
109032;1
109092;5
109172;3
109392;5
109872;2
111832;5
111872;2
112872;1
112893;5
113232;2
113332;1
113532;1
113572;5
113812;5
113872;5
